rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Designscape Architects,http://www.dscape.co.uk/,80,99,100,90,53,60,53
2,WBC Group (Western Building Consultants),https://www.westernbuildingconsultants.com/,79,69,100,99,43,80,70
3,Aaron Evans Architects Ltd,https://www.aaronevans.com/,68,96,63,76,42,40,85
4,Lacey Architecture Ltd,http://www.lacey-architecture.co.uk/,65,59,100,92,33,40,37
5,BBA Architects Ltd,http://www.bba-architects.co.uk/,63,56,100,86,38,20,
6,DKA,http://www.dka.co.uk/,63,65,100,81,31,20,58
7,Mark Wray Architects,https://markwray.co.uk/,62,,100,85,33,40,15
8,Mitchell Eley Gould Architects,http://www.mitchelleleygould.co.uk/,61,55,88,83,42,40,30
9,TEA Architects,http://www.tea-architects.co.uk/,61,69,100,90,25,0,53
10,Bright Studio Architects,http://www.brightstudioarchitects.co.uk/,60,58,100,82,25,0,83
11,Maack Architects,http://maack.co.uk/,60,46,100,83,38,20,55
12,Stride Treglown Bath,http://stridetreglown.com/contact/bath/,60,75,100,81,8,0,79
13,KANN ARCHITECTURE,http://kannarchitecture.com/,59,64,88,81,51,0,50
14,Nash Partnership,https://www.nashpartnership.com/,59,76,88,69,4,20,87
15,Silvan Architects,http://www.silvanarchitects.com/,59,57,88,87,33,0,75
16,Nick Shipp Architects,http://www.nickshipp.com/,58,62,75,81,29,0,96
17,Etons Of Bath,https://www.etonsofbath.com/,57,,100,89,0,0,79
18,Hetreed Ross Architects,http://www.hetreedross.com/,57,31,100,84,46,20,41
19,Sicolo Webb Architects,https://www.sicolowebb.com/,57,61,100,84,0,20,45
20,SRA Architects,http://www.sra-architects.co.uk/,57,44,100,82,23,0,80
21,Studio Four Point Ten Architects,http://www.fourpointten.co.uk/,57,55,100,85,0,20,55
22,Bath Heritage Building ltd,https://www.bathheritagebuilding.co.uk/,56,58,71,90,21,40,28
23,Donald Insall Associates,http://www.donaldinsallassociates.co.uk/,55,79,75,67,0,20,75
24,Marptree Design & Build limited,http://www.marptree.com/,55,58,100,90,8,0,45
25,Stonewood Design,http://www.stonewooddesign.co.uk/,55,100,100,59,21,0,0
26,The conservation architecture practice,http://www.conservationarchitecturepractice.com/,55,72,100,67,0,0,70
27,Feilden Clegg Bradley Studios,http://www.fcbstudios.com/,54,78,75,88,0,40,0
28,Lynea Architects Ltd,https://www.lynea.co.uk/,54,33,100,94,38,0,28
29,Klas Hyllén Architecture,http://klashyllen.com/,53,65,100,79,0,0,45
