rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Zest Sales & Lettings,https://www.zestlovesproperty.com/,81,81,100,98,52,60,87
2,Martin & Co Bath,https://www.martinco.com/estate-agents-and-letting-agents/branch/bath/,75,57,100,90,42,60,100
3,Madison Oakley,https://www.madisonoakley.co.uk/,70,76,88,79,38,60,70
4,Allen & Harris Bath,https://www.allenandharris.co.uk/estate-agents/bath,68,43,88,85,38,60,100
5,Cobb Farr,https://www.cobbfarr.com/,68,66,100,92,21,40,70
6,Winkworth Bath,https://www.winkworth.co.uk/estate-agents/bath,67,,88,78,50,20,100
7,Strattons and Partners,https://www.strattonsandpartners.com/,66,65,63,83,35,60,100
8,Aspire To Move,https://aspiretomove.co.uk/,65,70,75,100,33,20,80
9,Justin Hunter,https://www.justin-hunter.co.uk/,65,,63,89,48,60,55
10,Fine & Country Bath,https://www.fineandcountry.co.uk/bath-estate-agents,63,52,88,76,42,60,46
11,Bath Stone Property,https://www.bathstoneproperty.com/,62,,100,80,46,0,67
12,Whiteley Helyar,https://whiteleyhelyar.co.uk/,62,68,100,82,36,20,37
13,Crisp Cowley,https://www.crispcowley.co.uk/,57,67,75,90,38,0,45
14,Nash & Co,http://www.nashandcobath.co.uk/,51,64,63,82,26,0,50
15,Savills Bath,https://www.savills.co.uk/estate-agents/south-west-england/somerset/savills-bath.aspx,49,,33,83,33,40,
