rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Zest Sales & Lettings,https://www.zestlovesproperty.com/,84,81,100,98,53,80,87
2,Allen & Harris Bath,https://www.allenandharris.co.uk/estate-agents/bath,74,55,88,85,42,80,100
3,Savills Bath,https://www.savills.co.uk/estate-agents/south-west-england/somerset/savills-bath.aspx,74,69,63,83,38,100,100
4,Martin & Co Bath,https://www.martinco.com/estate-agents-and-letting-agents/branch/bath/,72,56,100,91,46,40,100
5,Cobb Farr,https://www.cobbfarr.com/,71,68,100,93,21,60,70
6,Madison Oakley,https://www.madisonoakley.co.uk/,70,75,88,79,38,60,70
7,Strattons and Partners,https://www.strattonsandpartners.com/,68,76,63,84,31,60,95
8,Aspire To Move,https://aspiretomove.co.uk/,66,73,75,100,38,20,80
9,Bath Stone Property,https://www.bathstoneproperty.com/,65,76,100,80,46,0,67
10,Winkworth Bath,https://www.winkworth.co.uk/estate-agents/bath,65,69,88,78,50,0,100
11,Whiteley Helyar,https://whiteleyhelyar.co.uk/,64,77,100,82,37,20,37
12,Fine & Country Bath,https://www.fineandcountry.co.uk/bath-estate-agents,61,55,88,75,42,40,46
13,Justin Hunter,https://www.justin-hunter.co.uk/,59,32,63,89,51,60,55
14,Crisp Cowley,https://www.crispcowley.co.uk/,57,64,75,91,42,0,45
15,Nash & Co,http://www.nashandcobath.co.uk/,50,62,63,82,26,0,50
