rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Hybrid Health Bath,http://www.hybridhealthphysio.com/,80,,88,100,46,80,75
2,The Pure Practice,https://thepurepractice.co.uk/,72,55,100,98,47,60,53
3,Bath Chiropractic Clinic,https://www.bathchiropracticclinic.com/,70,47,88,92,28,80,80
4,Impulse Chiropractic,http://www.physioimpulse.co.uk/chiropractic.html,70,57,63,80,53,100,67
5,Circus Health Bath,https://www.circushealth.co.uk/,68,56,100,100,39,20,80
6,The Medical - Bath,https://www.themedical.co.uk/locations/bath/physiotherapy-bath?utm_source=GBPbath&utm_medium=website_link_bath&utm_campaign=website_bath,65,50,75,77,38,60,100
7,OsteoBath,http://www.osteobath.co.uk/,64,57,100,92,36,20,60
8,Perfect Balance Clinic Bath,https://www.perfectbalanceclinic.com/,62,81,75,87,39,0,80
9,Kirk Russell Physiotherapy & Sports Injuries,http://www.kirkrussellphysio.com/,60,61,100,75,29,20,53
10,The Bath Practice,http://www.thebathpractice.co.uk/,60,58,100,74,38,20,53
11,"Active Health Chiropractic, Physiotherapy and Osteopathy",https://theactivehealthclinic.com/,59,56,100,87,27,0,
12,Align Body Clinic,https://alignbodyclinic.co.uk/,59,,100,92,14,0,70
13,Pelvix Specialist Pelvic Physiotherapy,https://www.pelvix.co.uk/,58,62,100,100,0,0,53
14,Peter Dixon DC,https://dixon-health.co.uk/clinics/bradford-on-avon/,58,84,88,98,0,0,37
15,Phoenix Physio,http://www.phoenixphysio.uk/,58,61,100,80,29,0,55
16,The London Road Clinic,https://thelondonroadclinic.com/,58,54,100,89,8,20,53
17,Oldfield Osteopathic Clinic,https://www.oldfieldosteopaths.com/,56,52,100,86,14,0,67
18,Physio West,https://www.physiowest.uk/,56,56,100,73,38,20,10
19,Barnes Sports Clinic,https://barnessportsclinic.co.uk/,55,68,75,66,29,20,63
20,The Recovery Lab,http://www.recoverylabbath.co.uk/,55,82,88,81,8,0,33
21,Adam Kwasnicki Physiotherapy,https://adamkwasnickiphysiotherapy.com/,54,62,100,66,21,0,55
22,Erika Hayward - Physiotherapy,http://www.erikahayward.com/,54,59,88,61,25,20,55
23,Monkton Farleigh Osteopathic Practice,http://ba15osteopaths.co.uk/,54,58,88,80,13,0,66
24,NeuroConnect Rehabilitation,http://neuroconnectrehab.co.uk/,53,64,75,63,21,0,90
25,Results Body+Mind,https://www.resultsbodymind.co.uk/?utm_source=GMB&utm_medium=organic&utm_campaign=office,53,64,88,80,0,0,70
26,The Royce Clinic Ltd,https://www.royceclinic.co.uk/,53,72,88,50,13,20,58
27,Marshall Chiropractic,http://marshallchiro.co.uk/,52,63,75,80,22,0,50
