rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,"Bath Veterinary Group, Rosemary Lodge Veterinary Hospital",https://www.bathvetgroup.co.uk/about-us/practices/rosemary-lodge?utm_source=gmb&utm_medium=organic&utm_campaign=attribute,65,,0,98,73,100,
2,Bath Veterinary Centre,http://www.bathveterinarycentre.co.uk/,64,66,29,80,56,100,53
3,Kelston Vets,http://www.kelstonvets.co.uk/,61,71,100,84,32,0,50
4,Croft Vets Ltd,https://businformaps.org/details/croft-vets-ltd-ChIJS6W,51,80,88,76,0,0,17
5,Cadence Equine Vets Ltd,https://www.cadenceequinevets.co.uk/,49,64,100,73,0,0,16
6,Vee the Vet,https://www.veethevet.co.uk/,49,62,100,64,0,0,35
7,Veterinary Pain Management,https://vet-painmanagement.com/about-us,49,90,75,63,0,0,30
8,Hands On Animal Physiotherapy,http://handsonanimalphysiotherapy.co.uk/,44,81,63,62,0,0,30
9,Vetindex Ltd,http://www.vetindex.co.uk/,43,82,75,47,0,0,25
10,"Bath Veterinary Group, Bath Cat Clinic",https://www.bathcatclinic.co.uk/?utm_source=gmb&utm_medium=organic&utm_campaign=attribute,41,60,0,83,57,0,
