rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,3bd Architects,https://www.3bdarchitects.com/,70,100,100,89,31,0,75
2,Wall Architecture,https://www.wallarchitecture.co.uk/,70,69,88,79,54,60,55
3,CGA Architects (Chris Goodsall),http://cga-architects.co.uk/,65,58,88,79,41,40,80
4,Wotton Donoghue Architects (Bristol),http://wdarchitects.co.uk/,65,57,100,82,30,40,70
5,Smith Maloney Hillier Architects Ltd,http://www.smithmaloneyhillier.co.uk/,64,53,100,89,42,40,30
6,Moon Design,https://www.designbymoon.co.uk/,61,61,88,88,30,40,28
7,AHR Architects | Bristol,http://www.ahr.co.uk/bristol,59,78,100,59,25,0,79
8,Alec French Architects,http://www.alecfrench.co.uk/,59,81,75,81,29,0,70
9,Easton Bevins,http://www.eastonbevins.co.uk/,59,71,88,91,17,0,63
10,105 West Architects,http://www.105west.co.uk/,58,100,100,78,0,0,20
11,D H V Architects,http://www.dhva.co.uk/,58,54,88,89,31,20,45
12,Grow Architectural,http://growarchitectural.co.uk/,58,54,100,81,25,20,40
13,WBC Group (Western Building Consultants),http://www.wbcbristol.co.uk/,58,71,100,83,0,0,70
14,Metcalfe Design & Architecture,https://www.metcalfedesign.co.uk/,57,65,88,94,21,0,45
15,A P G Architecture,http://www.apg-architecture.co.uk/,56,61,88,86,25,0,50
16,Aspect360,https://aspect360.co.uk/,56,86,100,67,4,0,49
17,Greener Consultants,https://www.greenerconsultants.com/,56,60,100,90,4,0,50
18,310 Studio Architects,http://www.3-10.studio/,55,100,63,85,0,0,50
19,Ascent Architecture,http://www.ascentarchitecture.com/,55,60,63,90,27,20,55
20,Charcoalblue Bristol,http://www.charcoalblue.com/,54,,100,85,0,0,58
21,Fatkin,http://fatkin.co.uk/,54,81,88,63,0,0,79
22,Marshall and Kendon Architects,http://www.marshallandkendon.co.uk/,54,70,100,79,0,0,45
23,Mason Architectural Design,https://www.mason-architecture.co.uk/,54,58,88,87,33,0,25
24,Grow Architects,https://growarchitects.co.uk/,53,97,67,76,0,0,
25,R & J Consultants,http://rjconsultants.co.uk/,53,78,100,67,0,0,42
26,SJP Architectural Consultants Ltd.,http://www.sjp-architecture.co.uk/,53,64,75,90,25,0,30
27,Mace Group,http://www.macegroup.com/,52,81,75,77,0,0,
28,Noma Architects Ltd,http://noma-uk.com/,52,56,88,80,21,0,41
29,OSP Architecture - Bristol,http://www.osparchitecture.com/,52,64,100,63,0,0,70
30,Childs Sulzmann Architects,https://www.cs-architects.co.uk/,51,61,88,67,0,0,78
31,Grain Architecture Ltd,https://www.grainarchitecture.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3650496606306823152,51,65,88,79,0,0,45
32,Studio Sintaa,http://www.studiosintaa.com/,51,71,88,81,0,0,25
33,AWW,http://aww-uk.com/,50,80,57,82,7,0,55
34,Catscad Ltd,https://catscad.net/,50,85,75,76,0,0,30
35,gcp Chartered Architects,http://www.gcparch.co.uk/,50,44,100,67,4,0,70
36,Glass Extensions Design and Build Ltd,https://glassextensions.co.uk/,50,68,75,89,0,0,35
37,Bristol Property Repair,https://bristolpropertyrepair.co.uk/,49,70,71,83,0,0,45
38,Dovela Designs,http://www.doveladesigns.co.uk/,49,73,75,87,0,0,16
39,Kendall Kingscott Ltd,https://www.kendallkingscott.co.uk/,49,31,86,78,0,0,96
40,one50studio,http://www.one50studio.com/,49,57,100,79,0,0,16
41,Richard O'Hanlon Studio,http://www.rohstudio.co.uk/,49,65,88,67,0,0,45
42,StudioHIVE Architects,http://architecturebystudiohive.co.uk/,49,52,100,67,0,0,55
43,The Bush Consultancy,http://www.thebushconsultancy.com/,49,93,50,81,0,0,40
44,Wylde Interior Architecture,http://www.wyldeia.co.uk/,49,43,100,76,0,0,49
45,Apply Structure Ltd,http://www.applystructure.com/,48,58,100,67,0,0,25
46,Piquant Collective,http://www.piquantcollective.co.uk/,48,55,100,80,0,0,5
47,RDK Civil Engineering Limited,https://rdkcivils.co.uk/,48,30,75,96,0,0,80
48,Stantec,https://www.stantec.com/uk/offices/bristol-wapping-road-uk?utm_source=google-business-profile&utm_medium=organic&utm_campaign=website-gbp_listing_united-kingdom&utm_content=bristol-wapping_office,48,58,88,86,0,0,20
49,Red Twin Limited - Bristol,http://www.redtwin.co.uk/,47,64,63,81,0,0,55
50,7 Architects,https://aeng.uk/,46,88,43,86,0,0,29
51,Extension Architecture Bristol - Extension Plans & Design,http://extension-architecture.co.uk/bristol,46,71,75,59,0,0,
52,FirstFox Architecture Ltd,http://www.firstfox.co.uk/,46,65,75,76,0,0,25
53,Building Plans Bristol,http://www.buildingplansbristol.co.uk/,45,100,29,71,8,20,8
54,Clifton Architects Limited,http://cliftonarchitects.com/,44,57,88,59,13,0,10
55,Clifton Emery design,http://www.cliftonemerydesign.co.uk/,44,62,43,76,0,0,80
56,RSJ Construction Ltd,https://www.rsjconstructionltd.co.uk/,44,100,33,63,0,0,
57,Sketchplay Playground Architects,https://www.sketchplay.co.uk/,44,85,33,79,0,0,
58,Clear Future Architecture Ltd,https://www.cf-architecture.co.uk/,43,86,63,67,0,0,0
59,Gabriela Roberts Architecture,http://www.gabrielaroberts-architecture.com/,43,69,88,59,0,0,0
60,PLACE By Design,http://www.placebydesign.co.uk/,43,62,67,63,0,0,
61,Etch Architecture,http://etcharchitecture.com/,42,62,88,59,0,0,5
62,WH Architects,http://www.wharchitects.co.uk/,42,20,88,84,8,0,20
63,Nicholas Morley Architects Ltd,http://www.nicholasmorleyarchitects.co.uk/,41,62,50,78,0,0,25
64,Howard Baker Design,http://howardbakerdesign.co.uk/,39,63,57,59,0,0,33
65,keyframe,http://keyframe.co.uk/,39,81,43,59,0,0,20
