rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,CJ Hole,https://www.cjhole.co.uk/,79,,100,85,52,80,66
2,Ocean Estate Agents,https://www.oceanhome.co.uk/,76,77,63,99,60,80,75
3,Boardwalk Property,https://www.boardwalkpropertyco.com/,73,85,100,80,48,40,67
4,Allen & Harris,https://www.allenandharris.co.uk/,65,68,88,89,31,20,80
5,Andrews Property Group,https://www.andrewsonline.co.uk/,64,,88,61,38,40,100
6,Goodman & Lilley,https://goodmanlilley.co.uk/,63,83,100,85,21,0,58
7,Richard Harding,https://www.richardharding.co.uk/,63,69,88,83,37,20,66
8,Hollis Morgan,https://www.hollismorgan.co.uk/,61,83,75,93,6,0,95
9,Knight Frank Bristol,https://www.knightfrank.co.uk/offices/bristol-estate-agents,59,52,88,78,29,40,50
10,Maggs & Allen,https://www.maggsandallen.co.uk/,59,62,75,99,23,0,80
11,Elephant Estate Agents,https://www.elephantlovesbristol.co.uk/,58,76,88,80,24,20,24
12,Chappell & Matthews,https://www.chappellandmatthews.co.uk/,55,,88,83,26,0,55
13,Besley Hill,https://www.besleyhill.co.uk/,53,79,88,62,0,0,70
14,Hydes of Bristol,https://www.hydes.co.uk/,50,48,100,22,33,20,80
15,Connells Bristol,https://www.connells.co.uk/estate-agents/bristol,44,40,50,80,33,0,50
16,Leese & Nagle,https://www.leeseandnagle.co.uk/,43,27,100,67,0,0,45
17,Edison Ford,https://www.edisonford.co.uk/,40,47,75,69,0,0,15
18,Saunders Estate Agents,https://www.saundersco.co.uk/,16,,38,,0,0,20
