rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,CJ Hole,https://www.cjhole.co.uk/,79,77,100,86,52,80,66
2,Ocean Estate Agents,https://www.oceanhome.co.uk/,75,71,63,99,61,80,75
3,Allen & Harris,https://www.allenandharris.co.uk/,67,74,88,89,37,20,80
4,Andrews Property Group,https://www.andrewsonline.co.uk/,65,69,88,61,33,40,100
5,Boardwalk Property,https://www.boardwalkpropertyco.com/,64,73,75,80,36,40,67
6,Chappell & Matthews,https://www.chappellandmatthews.co.uk/,61,77,88,83,41,0,55
7,Knight Frank Bristol,https://www.knightfrank.co.uk/offices/bristol-estate-agents,61,45,88,78,32,60,50
8,Hollis Morgan,https://www.hollismorgan.co.uk/,60,72,75,93,14,0,95
9,Maggs & Allen,https://www.maggsandallen.co.uk/,59,67,75,99,18,0,80
10,Richard Harding,https://www.richardharding.co.uk/,59,63,88,83,18,20,66
11,Elephant Estate Agents,https://www.elephantlovesbristol.co.uk/,58,77,88,80,26,20,24
12,Besley Hill,https://www.besleyhill.co.uk/,54,84,88,62,0,0,70
13,Goodman & Lilley,https://goodmanlilley.co.uk/,52,78,50,85,21,0,58
14,Hydes of Bristol,https://www.hydes.co.uk/,51,51,100,22,33,20,80
15,Leese & Nagle,https://www.leeseandnagle.co.uk/,50,58,100,67,0,0,45
16,Connells Bristol,https://www.connells.co.uk/estate-agents/bristol,44,41,50,80,33,0,50
17,Edison Ford,https://www.edisonford.co.uk/,42,59,75,69,0,0,15
18,Saunders Estate Agents,https://www.saundersco.co.uk/,37,99,38,,0,0,20
