rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,CJ Hole,https://www.cjhole.co.uk/,78,65,100,79,52,100,67
2,Ocean Estate Agents,https://www.oceanhome.co.uk/,71,74,63,79,60,80,67
3,Hollis Morgan,https://www.hollismorgan.co.uk/,64,90,75,79,14,20,100
4,Allen & Harris,https://www.allenandharris.co.uk/,62,69,88,78,35,20,67
5,Andrews Property Group,https://www.andrewsonline.co.uk/,62,69,88,60,38,20,100
6,Boardwalk Property,https://www.boardwalkpropertyco.com/,62,69,75,80,35,60,33
7,Elephant Estate Agents,https://www.elephantlovesbristol.co.uk/,62,77,88,80,24,40,33
8,Knight Frank Bristol,https://www.knightfrank.co.uk/offices/bristol-estate-agents,62,55,88,78,38,60,33
9,Richard Harding,https://www.richardharding.co.uk/,59,67,88,80,17,20,67
10,Chappell & Matthews,https://www.chappellandmatthews.co.uk/,56,69,88,79,35,0,33
11,Besley Hill,https://www.besleyhill.co.uk/,53,81,88,61,0,0,67
12,Maggs & Allen,https://www.maggsandallen.co.uk/,53,64,75,79,18,0,67
13,Leese & Nagle,https://www.leeseandnagle.co.uk/,52,57,100,67,0,0,67
14,Hydes of Bristol,https://www.hydes.co.uk/,49,52,100,22,33,20,67
15,Goodman & Lilley,https://goodmanlilley.co.uk/,44,74,50,79,21,0,0
16,Connells Bristol,https://www.connells.co.uk/estate-agents/bristol,41,39,50,76,33,0,33
17,Edison Ford,https://www.edisonford.co.uk/,38,49,75,68,0,0,0
18,Saunders Estate Agents,https://www.saundersco.co.uk/,38,99,38,,0,0,33
