rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Bristol Physio,https://www.bristolphysio.com/,76,83,100,61,52,80,70
2,Comfort Health,http://www.comforthealth.co.uk/,75,74,88,100,47,60,70
3,Bristol Back Pain Clinic,http://www.bristolbackpain.com/,73,81,100,97,8,60,70
4,Bodyset,https://www.bodyset.co.uk/clinic/bristol/,71,78,100,98,33,20,80
5,Cleve Chiropractic and Physiotherapy Centre,https://www.clevechiropractic.com/,67,100,100,83,19,0,80
6,Rupert Cross Osteopathy,http://www.the-bristol-osteopath.co.uk/,64,100,88,100,27,0,20
7,Sneyd Park Osteopaths,http://www.bristolosteopaths.com/,64,75,100,98,36,0,37
8,City House Clinic,http://www.thehouseclinics.co.uk/contact-us/city-house-clinic/,63,63,100,72,46,40,35
9,Willow Chiropractic - Filton,https://www.willowlife.co.uk/clinics/bristol-chiropractors/filton/?utm_source=GBPfil&utm_medium=website_link_fil&utm_campaign=website_fil,61,62,100,95,8,0,79
10,Bristol Chiropractic Sports and Family Clinic,https://www.bristol-chiropractic.co.uk/,60,61,88,90,14,0,100
11,HPC - Henleaze Physio Clinic,https://www.henleazephysioclinic.co.uk/?Physio=,60,61,100,97,17,0,58
12,Rise Physiotherapy Bristol,http://www.risephysiotherapy.com/,60,59,100,100,8,0,70
13,The Hanham Clinic: Chiropractic & Sports Injury Clinic,https://hanhamclinic.co.uk/,60,47,88,100,32,20,53
14,GRC Physio,https://www.grcphysio.com/,59,71,88,100,0,0,70
15,"Keith James Physiotherapy - Coldharbour Road, Westbury Park",http://www.keithjamesphysiotherapy.co.uk/,59,47,75,96,34,20,75
16,The Medical - Westbury-on-Trym,https://www.themedical.co.uk/locations/bristol/physiotherapy-bristol?utm_source=GBPwot&utm_medium=website_link_wot&utm_campaign=website_wot,58,48,75,78,33,20,100
17,"Bristol Soft Tissue Therapy - Massage, Physio and Wellness Clinic",https://bristolsofttissuetherapy.com/,57,56,100,95,4,0,60
18,The Bristol Body Repair Clinic,https://www.thebristolbodyrepairclinic.co.uk/,57,67,88,91,4,0,75
19,Evolve Physio Clinic,https://evolvephysioclinic.co.uk/,56,58,88,84,21,20,35
20,Fit Forming,http://www.fitforming.co.uk/,56,59,100,93,0,0,60
21,My Chiro,http://www.mychiro.co.uk/,56,44,100,99,8,0,60
22,ROME Physio Rehab Hotwells,https://www.romenendezphysio.com/,56,57,100,77,0,0,87
23,Time Out Therapies,http://www.timeouttherapies.co.uk/,56,72,100,75,0,0,66
24,Staple Hill Osteopathy,https://www.staplehillosteopathy.co.uk/,55,64,100,74,4,0,67
25,ICAHT - Centre Of Integrative Medicine (Holistic Clinic),https://www.icaht.co.uk/bristol-clinic/,54,40,100,97,0,0,70
26,Physio Fit Bristol,https://www.physiofitbristol.com/,54,59,88,97,0,0,50
27,Vital Health Chiropractic Clinic,http://www.vitalhealthchiropractor.co.uk/,54,65,88,90,22,0,16
28,Willow Life Chiropractic,http://chiropracticjobs.com/,54,79,100,59,0,0,66
29,Back2Action Ltd,http://www.back2action.co.uk/,53,85,75,75,4,20,21
