rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Cotswold Physiotherapy Centre LLP,http://www.cotswoldphysio.co.uk/,75,61,100,79,52,80,70
2,"Skelian Chiropractic, Physiotherapy & Massage Therapy Cheltenham",https://www.skelian.co.uk/,70,70,100,100,39,20,70
3,Nuffield Health Gloucester Fitness & Wellbeing Gym,https://www.nuffieldhealth.com/gyms/gloucester?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-Gloucester,68,54,75,97,39,60,80
4,Breakspeare Clinic-Cheltenham | Physiotherapy | Sports Injury | Rehabilitation,https://www.breakspeare.co.uk/our-clinics/cheltenham-clinic/,67,65,75,72,38,60,100
5,Pea Green Physio Cheltenham,http://www.peagreenphysio.co.uk/cheltenham/,67,52,88,98,37,40,75
6,"Porch House Clinic | Foot, Gait & Spine | Musculoskeletal | Podiatry",http://www.porchhouseclinic.co.uk/,67,84,88,100,21,20,60
7,The Medical - Cheltenham,https://www.themedical.co.uk/locations/cheltenham?utm_source=GBPchelt&utm_medium=website_link_chelt&utm_campaign=website_chelt,64,68,75,93,42,0,100
8,Proview Sports - Sports Injury Clinic & Performance Centre,http://proviewsports.co.uk/,63,49,88,100,31,20,75
9,Hands On Wellbeing,https://handsonwellbeing.com/,62,47,100,96,39,0,80
10,Back In Shape Cheltenham,https://backinshapestudio.com/,61,74,100,84,17,0,66
11,Encompass Health,http://www.encompasshealth.uk/,61,75,88,84,28,0,70
12,Georgina Taft,http://gtaftphysio.co.uk/,60,61,100,66,21,40,55
13,Churchdown Osteopaths,https://www.churchdownosteopaths.co.uk/,59,42,100,89,13,20,80
14,Gloucester Chiropractors,https://www.gloucester-chiropractor.co.uk/,59,67,100,96,0,20,37
15,Osteopaths Karl Turner & Edric Lau,http://www.oakwellhealth.co.uk/,59,62,100,100,19,0,37
16,ToT Gloucestershire - Private Home Visit Physiotherapy Service for Elderly,https://therapiesonthames.co.uk/gloucestershire/,59,74,88,72,29,0,80
17,Cameron-Mitchell Osteopaths,http://www.cmosteopaths.co.uk/,58,59,100,89,30,0,37
18,Cheltenham Bupa Health Centre,https://www.bupa.co.uk/health/health-assessments/our-centres/cheltenham?pdg_network=google_local_listing&pdg_term=southwest,58,69,50,47,44,80,
19,Cheltenham Chiropractic Clinic,http://www.cheltenhamchiropractic.co.uk/,57,59,100,77,10,20,53
20,"Cotswold Osteopaths, Jane Hartley and Guy Beresford",http://www.cotswoldosteopaths.co.uk/,56,62,75,82,33,0,75
21,Get Ahead Physiotherapy Ltd,http://www.getaheadphysio.co.uk/,56,65,88,93,4,0,60
22,Leckhampton Chiropractic Clinic,http://www.chiropractor-cheltenham.co.uk/,56,47,88,87,33,0,66
23,Carlton Clinic,http://www.carltonclinic.com/,55,82,100,83,0,0,20
24,Key Wellness Chiropractic,https://www.keywellness.co.uk/,55,83,88,88,0,0,30
25,Angela Sells Physiotherapy,http://www.asphysiotherapy.co.uk/,54,71,88,63,13,20,50
26,Optimal Chiropractic & Health,https://www.optimalchiro.co.uk/,54,85,88,78,4,0,30
27,Richardson’s Wellbeing Clinic,http://www.rwclinic.co.uk/,54,65,88,87,21,0,25
28,Alexandra Physiotherapy Clinic,http://www.alexandraphysiotherapyclinic.co.uk/,53,86,88,68,0,0,50
