rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Arvonia Vets Churchdown Veterinary Centre,https://www.cheltenhamvets.co.uk/,76,70,63,81,58,100,96
2,Cheltenham Animal Shelter,http://gawa.org.uk/,76,69,100,94,59,60,53
3,Madra Veterinary Clinic Cheltenham,http://www.madravetscheltenham.co.uk/,76,63,75,91,75,100,35
4,Folly Gardens Veterinary Clinic - Cheltenham,https://www.follygardens.com/,74,,100,79,53,40,96
5,Regency Vets,http://regencyvets.com/,74,49,88,100,58,80,55
6,Woodmancote Vets,http://www.woodmancotevets.co.uk/,71,86,88,87,42,60,35
7,Casvet,http://www.casvet.co.uk/,64,56,88,85,5,80,53
8,"Dragon Vets, Prestbury Park",https://www.dragonvet.co.uk/?utm_source=gmb&utm_medium=organic,62,61,0,98,61,100,
9,"AAS Vets in Hucclecote, Gloucester",https://www.aasvets.co.uk/our-branches/hucclecote-pets-vets,60,75,100,78,4,0,92
10,"Wood Veterinary Group, Longlevens",https://woodvets.co.uk/,58,80,88,87,13,0,49
11,Cheltenham Equine Vets,http://www.cheltenhamequinevets.co.uk/,57,52,100,76,43,0,53
12,The Brambles Veterinary Surgery Barnwood Road,http://www.brambles-vets.co.uk/,57,80,100,75,4,0,49
13,Arvonia Vets Gloucester Road,http://www.crickmorevets.com/,53,75,63,79,0,0,96
14,Cotswold Equine Physio,https://www.cotswoldequinephysio.co.uk/,51,64,100,69,0,0,40
15,Even Stride Veterinary Physiotherapy - Cheltenham,https://www.evenstridevetphysio.co.uk/,50,67,88,66,0,0,55
16,Abbey Green Vets,http://www.abbeygreenvets.co.uk/,48,68,75,73,0,0,50
17,Four Wet Paws Hydrotherapy and Physiotherapy,http://www.fourwetpaws.com/,48,59,75,76,0,0,60
18,CERES vets,https://businformaps.org/details/ceres-vets-ChIJ8QE,46,84,88,50,0,0,17
19,Pet Care Scheme at Casvet,https://www.pdsa.org.uk/pet-care-scheme-clients,45,63,75,65,4,0,35
20,Sheila Jones Equine,https://www.sheilajonesequine.com/,45,72,75,65,0,0,21
