rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Living Space Architects,http://www.livingspacearchitects.com/,82,79,100,88,53,100,53
2,Tom Spriggs Architect,http://www.tomspriggs.com/,81,81,100,92,60,80,53
3,New Space Architecture Limited,http://www.newspacearchitecture.com/,72,53,88,98,67,60,53
4,Hilton Barnfield Architects,http://www.hiltonbarnfield.co.uk/,71,56,100,89,78,20,70
5,Co Create Architects - RIBA Chartered Architects Exeter,http://cocreate-architects.com/,69,56,100,98,45,40,53
6,ARP Architects Ltd.,http://www.arp-architects.com/,68,36,100,88,50,80,41
7,Barc Architects,http://barcarchitects.com/,67,64,88,86,54,40,53
8,MJM Architecture,https://www.mjm-architecture.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14569056341598651822,67,69,75,87,42,40,85
9,ET Architect,https://www.et-architect.co.uk/,61,85,100,81,25,0,45
10,Poynton Bradbury Architects,https://poyntonbradbury.co.uk/,61,68,100,67,28,0,96
11,Gray + Gray architects,http://www.grayandgray.co.uk/,60,59,88,76,25,40,58
12,"KTA - Architects in Exeter and Plymouth, Devon",http://www.kta.uk.com/,60,64,100,87,33,20,16
13,LHC Design,http://www.lhc.net/,60,80,88,79,29,0,62
14,NPS Property Consultants,https://www.nps.co.uk/,60,76,100,78,0,0,87
15,Stephen Varney Associates Architects - Exeter,https://svaarchitects.co.uk/architect-exeter/,60,40,100,88,46,20,42
16,GJR Architects Ltd,http://www.gjrarchitects.co.uk/,59,64,88,81,34,20,41
17,PMR Architecture,http://www.pmr-architecture.co.uk/,59,64,100,63,43,20,37
18,"Salmon Planning Company - West Somerset, Devon & Cornwall",https://www.salmonplanning.co.uk/,59,72,100,81,0,0,83
19,Maria Escribano Architects Ltd,http://www.mariaescribano.com/,57,65,75,86,21,20,58
20,Acorus Rural Property Services Ltd,https://acorus.co.uk/,56,58,100,80,0,0,87
21,Grainge Architects,http://www.graingearchitects.co.uk/,56,50,100,84,33,0,41
22,Axiom Architects,http://www.axiomarchitects.co.uk/,55,100,63,59,30,0,60
23,Bailey Partnership (Group) Ltd,http://www.baileypartnership.co.uk/,55,74,100,67,0,0,70
24,MRM Design Studio Ltd,http://www.mrmdesignstudio.co.uk/,55,66,88,88,29,0,25
25,Thomas Souster - Architect,http://www.thomassousterarchitecture.com/,55,58,100,86,4,20,30
26,BBH Chartered Architects Ltd,https://www.bbharchitects.co.uk/,54,61,100,76,8,0,49
27,Group Emmett Design Architects,https://www.groupemmettdesign.co.uk/,53,51,75,83,17,20,55
28,Hann Design Studio,http://hdsarchitects.co.uk/,53,83,75,83,4,0,45
29,L+ Architects,http://www.lplusarchitects.com/,53,65,100,67,0,0,62
30,Mark Muir Architect,http://www.markmuirarchitect.com/,53,67,88,88,8,0,30
31,Smithers Purslow,http://www.smitherspurslow.com/,53,81,88,63,0,0,70
32,The Threshing Barn,http://thethreshingbarn.org.uk/,52,85,100,56,0,0,33
33,Burley Partnership Ltd,http://www.burleypartnership.co.uk/,51,62,100,67,0,0,49
34,Dunn Marino Associates,http://www.dmal.co.uk/,51,86,43,82,33,20,10
35,inacoustic,http://www.inacoustic.co.uk/,51,64,100,67,0,0,50
36,LDA Design (Exeter),http://www.lda-design.co.uk/,51,75,88,63,0,0,62
37,16A Architecture,https://www.16aarchitecture.com/,50,58,88,79,0,0,53
38,Design Engine Architects,https://www.designengine.co.uk/,50,80,75,71,0,0,45
39,Expedite Design Services Ltd,http://www.expediteps.com/,50,58,100,63,0,0,62
40,Bennellick Architectural Design,http://www.bennellick.design/,49,61,75,76,4,0,58
41,Florian Winkler,http://florianwinkler.co.uk/,48,67,75,59,0,0,75
42,Avalon Planning & Heritage,http://www.avalonplanning.co.uk/,47,52,75,67,8,0,70
43,Citizen Architects,http://www.citizenarchitects.eu/,47,56,100,59,0,0,35
44,Exeter Historic Building Trust,http://ehbt.org.uk/,47,100,50,63,0,0,
45,Gale & Snowden Architects Ltd.,http://www.ecodesign.co.uk/,47,64,88,68,0,0,33
46,Louise Crossman Architects,http://lcarchitects.co.uk/,47,68,75,63,21,0,25
47,Montage,http://www.montageuk.com/,46,56,88,59,0,0,55
48,The Cave Co-operative,http://www.cave.coop/,45,59,88,63,0,0,30
49,Woods Design Services,http://www.woods-design.com/,45,87,29,77,21,0,28
50,Clifton Emery design,http://www.cliftonemerydesign.co.uk/,44,62,43,67,13,0,80
51,Leaver Consultancy Limited,http://leaverconsultancy.co.uk/,44,98,57,63,0,0,8
52,Project Services Limited,http://www.barryblaker.com/,44,100,14,76,0,40,0
53,Pea Green Studio Ltd - Commercial & Residential Interiors,https://www.peagreenstudio.co.uk/,43,43,100,67,0,0,10
54,StudioExe Architects,http://www.studioexe.co.uk/,43,70,75,59,0,0,17
55,TFQ Architects,http://www.tfqarchitects.co.uk/,43,84,33,77,0,0,
56,Barrie Simons & Associates,http://www.bsa-exe.co.uk/,42,56,63,73,8,0,25
57,Robinson Jary Architecture,http://www.robinsonjary.co.uk/,42,82,43,63,0,0,40
58,Croft Surveyors,http://www.croftsurveyors.co.uk/,41,34,75,67,0,0,60
59,Morten Construction Solutions,http://www.mortenconstruction.com/,40,84,33,61,0,0,
60,Fieldstone Architecture,https://fieldstonearchitecture.co.uk/,35,60,33,63,0,0,
61,Matthew Farmer,http://mfarchitecture.co.uk/,35,33,75,59,0,0,12
62,Capcad Architecture,http://www.capcadarchitecture.co.uk/,22,,0,77,0,0,
63,Heighway Field Associates,http://www.heighwayfield.co.uk/,18,,14,59,0,0,0
