rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,City Vets in Heavitree,http://cityvets.co.uk/heavitree-branch/,87,78,100,99,82,60,100
2,Exeter Veterinary Surgery,https://exetervets.co.uk/,82,83,88,85,75,100,42
3,Ark Vets-Pinhoe,http://www.arkvets-exeter.co.uk/,70,77,100,86,58,20,53
4,Estuary Vets,http://www.estuary.vet/,60,32,100,87,46,20,66
5,"Beaumont Veterinary Centre, Exeter",https://www.beaumont-vets.co.uk/?utm_source=gmb&utm_medium=organic&utm_campaign=attribute,58,64,100,99,0,0,50
6,HeartVets @City Vets,http://www.heartvets.co.uk/,58,92,100,67,2,0,
7,Rainbow Bridge Vets,https://www.rainbowbridgevets.co.uk/,56,54,88,94,25,0,55
8,Molecare Veterinary Services Exeter,http://www.molecarevetservices.com/,55,68,100,64,0,0,87
9,"Jonathan Wood Veterinary Surgeons Ltd, Bernaville Nurseries",http://www.jwoodvet.co.uk/,53,64,88,68,8,0,78
10,Synergy Farm Health Vets - Lympstone,https://www.synergyfarmhealth.com/,53,70,100,50,0,0,87
11,"Stringer Equine Veterinary Practice, Exeter",http://www.devon-equine-vets.com/,52,67,100,68,0,0,50
12,Phoenix Equine,https://phoenixequine.co.uk/?utm_source=google&utm_medium=Yext,51,63,75,73,0,20,55
13,St David’s Game Bird Services,http://www.stdavids-gamebirds.co.uk/,49,65,88,59,0,0,62
14,St Davids Veterinary Clinic - Topsham,https://www.vetcollection.co.uk/south-west/exeter/st-davids-veterinary-clinic-topsham/?utm_source=google&utm_medium=Yext,49,75,75,70,0,0,
15,Exonia Veterinary Emergency Service,https://exoniavets.co.uk/?utm_source=google&utm_medium=Yext,48,44,88,70,7,0,67
16,St David's Poultry Team Ltd,http://www.stdavids-poultryteam.co.uk/,47,63,75,61,0,0,75
17,TopVet,https://topvet.net/,47,71,100,45,25,0,5
18,Tor Equine Vets,http://torequinevets.co.uk/,47,72,75,50,0,0,75
19,Applied Bacterial Control Ltd,http://www.appliedbacterialcontrol.com/,46,61,100,44,0,0,49
20,The Chicken Vet,http://www.chickenvet.co.uk/,43,53,75,57,0,0,55
21,South West Equine Referral Practice,http://www.southwestequine.co.uk/,20,,0,70,0,0,
