rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Gloucester Builders,https://www.gloucesterbuilding.co.uk/,64,60,100,,29,60,58
2,RPM Building Services,https://www.rpmbuildingservices.co.uk/,59,,100,79,33,20,33
3,Builder Gloucestershire,https://buildergloucestershire.co.uk/,58,,100,33,8,100,37
4,Carma UK Construction,https://www.carmaukconstruction.co.uk/,53,49,100,85,0,0,60
5,Halford Builders,https://www.halfordbuilders.co.uk/,53,62,75,69,33,20,37
6,Guardian Builders Gloucester,https://www.guardianbuildersgloucester.co.uk/,52,76,75,78,38,0,0
7,A.R.D. Developments,https://www.arddevelopmentsltd.co.uk/,51,,63,82,33,20,40
8,Longlevens Building,http://www.longlevensbuilding.com/,51,58,75,81,33,0,33
9,AJ Build,https://ajbuildltd.com/,47,65,100,,4,0,37
10,Cotswold Construction,https://www.cotswold-construction.co.uk/,45,,50,67,25,60,0
11,King Builders,https://www.kingbuildersglosltd.co.uk/,43,62,50,81,27,0,0
12,Buildex Construction,https://buildexuk.com/,42,40,63,78,17,20,0
13,L & W Building Contractors,https://landwbuilders.com/,41,,88,,38,0,16
