rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Guardian Builders Gloucester,https://www.guardianbuildersgloucester.co.uk/,64,73,75,78,42,40,60
2,Builder Gloucestershire,https://buildergloucestershire.co.uk/,59,62,100,33,8,100,37
3,Buildex Construction,https://buildexuk.com/,57,41,75,78,17,40,100
4,RPM Building Services,https://www.rpmbuildingservices.co.uk/,55,55,100,79,33,0,33
5,Cotswold Construction,https://www.cotswold-construction.co.uk/,53,62,50,67,29,60,41
6,Carma UK Construction,https://www.carmaukconstruction.co.uk/,50,32,100,85,4,0,60
7,Longlevens Building,http://www.longlevensbuilding.com/,50,57,75,81,29,0,33
8,Halford Builders,https://www.halfordbuilders.co.uk/,49,60,75,69,29,0,37
9,A.R.D. Developments,https://www.arddevelopmentsltd.co.uk/,48,48,63,82,33,0,40
10,AJ Build,https://ajbuildltd.com/,47,66,100,,4,0,37
11,King Builders,https://www.kingbuildersglosltd.co.uk/,47,61,50,81,31,0,37
12,L & W Building Contractors,https://landwbuilders.com/,39,32,88,,38,0,16
13,Gloucester Builders,https://www.gloucesterbuilding.co.uk/,36,,0,,25,80,58
