rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Guardian Builders Gloucester,https://www.guardianbuildersgloucester.co.uk/,61,73,75,78,42,40,33
2,Builder Gloucestershire,https://buildergloucestershire.co.uk/,59,62,100,33,8,100,33
3,Buildex Construction,https://buildexuk.com/,57,41,75,78,17,40,100
4,Cotswold Construction,https://www.cotswold-construction.co.uk/,52,62,50,67,29,60,33
5,RPM Building Services,https://www.rpmbuildingservices.co.uk/,52,55,100,79,33,0,0
6,Longlevens Building,http://www.longlevensbuilding.com/,50,57,75,81,29,0,33
7,Halford Builders,https://www.halfordbuilders.co.uk/,48,60,75,69,29,0,33
8,A.R.D. Developments,https://www.arddevelopmentsltd.co.uk/,47,48,63,82,33,0,33
9,Carma UK Construction,https://www.carmaukconstruction.co.uk/,47,32,100,85,4,0,33
10,AJ Build,https://ajbuildltd.com/,46,66,100,,4,0,33
11,King Builders,https://www.kingbuildersglosltd.co.uk/,46,61,50,81,31,0,33
12,L & W Building Contractors,https://landwbuilders.com/,37,32,88,,38,0,0
13,Gloucester Builders,https://www.gloucesterbuilding.co.uk/,32,,0,,25,80,33
