rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Greek on the Docks,https://www.greekonthedocks.co.uk/welcome/,66,80,88,99,27,40,28
2,Gloucester Food Dock,https://www.gloucesterfooddock.co.uk/,64,63,100,82,53,20,37
3,Portivo Lounge,https://thelounges.co.uk/portivo/,62,77,88,98,27,0,53
4,Hatherley Manor Hotel & Spa,http://www.hatherleymanor.com/,61,61,100,94,8,0,91
5,Nala Restaurant,https://nalarestaurantuk.com/,61,77,100,100,0,0,58
6,Pepe's,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/gloucester/144-eastgate-street/4609439,59,82,100,97,0,0,28
7,The Linden Tree,https://gloucesterpartnership.org.uk/business/the-linden-tree/,58,87,100,79,0,0,50
8,Burger Boi - Gloucester,https://burgerboi.co.uk/,57,96,75,85,0,0,60
9,Café René,http://www.caferene.co.uk/,55,68,100,98,4,0,15
10,Royal Oak,https://www.hungryhorse.co.uk/pubs/gloucestershire/royal-oak?utm_source=g_places&utm_medium=locations&utm_campaign=HH_pubpage,55,65,88,94,8,0,40
11,The New Dawn Inn,http://newdawninn.co.uk/,55,68,100,88,0,0,33
12,Chuck Burgers,https://www.chuckburgerbar.com/,53,81,75,94,0,0,25
13,Hare & Hounds,https://www.greeneking.co.uk/pubs/gloucestershire/hare-and-hounds?utm_source=g_places&utm_medium=locations&utm_campaign=PL_pubpage,53,59,88,94,8,0,40
14,Karak Chaii Gloucester,https://www.karakchaii.co.uk/,53,,100,97,0,0,33
15,Roots + Seeds Cafe Kitchen Gloucester Food Docks,https://www.rootsandseedskitchengarden.co.uk/,53,49,88,95,8,0,49
16,The Lock Keepers,http://www.thelockkeepers.co.uk/,53,,100,96,6,0,25
17,Indian Memories,http://www.indianmemories.co.uk/,52,68,75,87,0,0,55
18,Eat Unique,http://eat-unique.uk/,51,64,100,47,29,0,49
19,GO SPICE,https://gospice.co.uk/,50,70,75,94,0,0,17
20,The Old Elm Inn,http://www.theoldelminn.co.uk/,50,68,75,98,0,0,20
21,Five Guys Burgers and Fries Gloucester Quays,https://restaurants.fiveguys.co.uk/south-west/r11-gloucester-quays-outlet,49,,88,83,0,0,46
22,Poppins,http://www.poppinsrestaurants.co.uk/,49,74,75,79,4,0,30
23,Côte Gloucester,https://www.cote.co.uk/restaurant/gloucester/?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business?utm_source=extnet&utm_medium=yext,48,54,75,78,0,40,10
24,Banchina Italian,https://banchina.co.uk/,47,57,43,97,21,0,46
25,Farmhouse Deli,http://www.farmhousedeli.co.uk/,47,,100,79,0,0,20
26,Fly Wingz,https://flywingz.co.uk/,47,70,75,89,0,0,5
27,Friar Tucks,http://www.thefriartucks.co.uk/,47,78,63,84,0,0,20
28,Tara,https://hatton-court.co.uk/eating-drinking-restaurants-gloucester-cotswolds/,47,60,100,66,0,0,16
29,Bombay Mix,https://bombaymixtuffley.co.uk/,46,100,33,75,0,0,
30,NepaleseChef,http://www.nepalesechef.co.uk/,46,59,43,98,0,0,60
31,The Victoria Hotel,http://www.victoriainnhucclecote.co.uk/,45,66,75,78,0,0,10
32,Spice Master,https://thespicemaster.co.uk/,44,57,75,79,0,0,17
33,Nineteen at Brickhampton,https://www.brickhampton.co.uk/nineteenatbrickhampton,43,75,63,68,0,0,20
34,Brimble's Cafe,http://www.brimblescafe.co.uk/,42,60,63,84,0,0,5
35,Khans Kebabs & Grill,https://khanskebab.co.uk/,41,,75,80,0,0,17
36,Seymour Fryer,https://seymourfryer.co.uk/,41,,75,82,0,0,17
37,Golden City,http://www.goldencitychurchdown.co.uk/,40,,75,78,0,0,13
38,Moft Caffe,http://www.moftcaffe.com/,40,100,0,80,0,0,
39,Olympian Bites,http://olympianbites.co.uk/,39,100,0,75,0,0,
40,Saeeds,https://www.saeedbaltihouse.co.uk/,39,93,0,83,0,0,
41,Tim Hortons - Gloucester,https://www.timhortons.co.uk/,27,,0,95,0,0,
42,Coney Hill Fish & Chips,http://coneyhillfishandchips.co.uk/,22,,0,78,0,0,
43,Dough from dough (events only),http://www.doughfromdough.com/,22,,0,77,0,0,
44,TANK,http://www.tankgloucester.co.uk/,21,,0,75,0,0,
