rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Greek on the Docks,https://www.greekonthedocks.co.uk/welcome/,64,79,88,79,15,60,33
2,Hatherley Manor Hotel & Spa,http://www.hatherleymanor.com/,60,54,100,74,28,0,100
3,Gloucester Food Dock,https://www.gloucesterfooddock.co.uk/,58,58,100,74,54,20,0
4,Nala Restaurant,https://nalarestaurantuk.com/,58,74,100,80,0,0,67
5,Portivo Lounge,https://thelounges.co.uk/portivo/,58,81,88,78,35,0,33
6,Five Guys Burgers and Fries Gloucester Quays,https://restaurants.fiveguys.co.uk/south-west/r11-gloucester-quays-outlet,54,88,88,77,0,0,33
7,Karak Chaii Gloucester,https://www.karakchaii.co.uk/,54,75,100,77,0,0,33
8,The Lock Keepers,http://www.thelockkeepers.co.uk/,54,74,100,76,6,0,33
9,Eat Unique,http://eat-unique.uk/,53,65,100,47,29,0,67
10,Burger Boi - Gloucester,https://burgerboi.co.uk/,52,90,75,77,0,0,33
11,Poppins,http://www.poppinsrestaurants.co.uk/,52,91,75,76,4,0,33
12,The Linden Tree,https://gloucesterpartnership.org.uk/business/the-linden-tree/,52,69,100,76,0,0,33
13,Bombay Mix,https://bombaymixtuffley.co.uk/,51,100,57,74,0,0,
14,Pepe's,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/gloucester/144-eastgate-street/4609439,51,77,100,77,0,0,0
15,Café René,http://www.caferene.co.uk/,50,68,100,78,4,0,0
16,The New Dawn Inn,http://newdawninn.co.uk/,50,70,100,78,0,0,0
17,Farmhouse Deli,http://www.farmhousedeli.co.uk/,49,70,100,74,0,0,0
18,Royal Oak,https://www.hungryhorse.co.uk/pubs/gloucestershire/royal-oak?utm_source=g_places&utm_medium=locations&utm_campaign=HH_pubpage,49,56,88,76,8,0,33
19,Hare & Hounds,https://www.greeneking.co.uk/pubs/gloucestershire/hare-and-hounds?utm_source=g_places&utm_medium=locations&utm_campaign=PL_pubpage,48,55,88,76,8,0,33
20,Ramada by Wyndham Cheltenham,https://www.wyndhamhotels.com/en-uk/ramada/cheltenham-united-kingdom/ramada-cheltenham/overview,48,,88,72,0,0,67
21,Roots + Seeds Cafe Kitchen Gloucester Food Docks,https://www.rootsandseedskitchengarden.co.uk/,48,55,88,78,4,0,33
22,Côte Gloucester,https://www.cote.co.uk/restaurant/gloucester/?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business?utm_source=extnet&utm_medium=yext,47,68,75,78,0,20,0
23,Fly Wingz,https://flywingz.co.uk/,47,85,75,73,0,0,0
24,The Restaurant At The Cheltenham Chase Hotel,https://www.thecheltenhamchase.co.uk/dining/,47,65,75,59,0,0,67
25,Chuck Burgers,https://www.chuckburgerbar.com/,46,81,75,74,0,0,0
26,Indian Memories,http://www.indianmemories.co.uk/,46,61,75,77,0,0,33
27,GO SPICE,https://gospice.co.uk/,45,76,75,74,0,0,0
28,Golden City,http://www.goldencitychurchdown.co.uk/,45,74,75,76,0,0,0
29,Tara,https://hatton-court.co.uk/eating-drinking-restaurants-gloucester-cotswolds/,45,59,100,65,0,0,0
30,Brimble's Cafe,http://www.brimblescafe.co.uk/,44,65,63,74,0,0,33
31,Seymour Fryer,https://seymourfryer.co.uk/,44,65,75,78,0,0,0
32,The Old Elm Inn,http://www.theoldelminn.co.uk/,44,68,75,78,0,0,0
33,Friar Tucks,http://www.thefriartucks.co.uk/,43,75,63,77,0,0,0
34,Nineteen at Brickhampton,https://www.brickhampton.co.uk/nineteenatbrickhampton,43,84,63,68,0,0,0
35,The Victoria Hotel,http://www.victoriainnhucclecote.co.uk/,43,62,75,76,0,0,0
36,Coney Hill Fish & Chips,http://coneyhillfishandchips.co.uk/,42,68,50,76,0,0,33
37,Spice Master,https://thespicemaster.co.uk/,42,57,75,76,0,0,0
38,Banchina Italian,https://banchina.co.uk/,41,61,43,77,13,0,33
39,Khans Kebabs & Grill,https://khanskebab.co.uk/,41,57,75,75,0,0,0
40,Moft Caffe,http://www.moftcaffe.com/,40,100,0,80,0,0,
41,NepaleseChef,http://www.nepalesechef.co.uk/,40,60,43,78,0,0,33
42,Olympian Bites,http://olympianbites.co.uk/,39,100,0,75,0,0,
43,Saeeds,https://www.saeedbaltihouse.co.uk/,31,60,0,78,0,0,
44,SIGNATURE GRILL HOUSE,https://www.ramadacheltenham.com/restaurant/,23,,0,79,0,0,
45,Dough from dough (events only),http://www.doughfromdough.com/,22,,0,77,0,0,
46,TANK,http://www.tankgloucester.co.uk/,21,,0,75,0,0,
47,Tim Hortons - Gloucester,https://www.timhortons.co.uk/,21,,0,75,0,0,
