rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Greek on the Docks,https://www.greekonthedocks.co.uk/welcome/,67,79,88,99,15,60,28
2,Portivo Lounge,https://thelounges.co.uk/portivo/,64,81,88,98,35,0,53
3,Hatherley Manor Hotel & Spa,http://www.hatherleymanor.com/,63,54,100,94,28,0,91
4,Gloucester Food Dock,https://www.gloucesterfooddock.co.uk/,61,58,100,82,54,20,20
5,Nala Restaurant,https://nalarestaurantuk.com/,61,74,100,100,0,0,58
6,Karak Chaii Gloucester,https://www.karakchaii.co.uk/,58,75,100,97,0,0,33
7,Pepe's,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/gloucester/144-eastgate-street/4609439,58,77,100,97,0,0,28
8,The Lock Keepers,http://www.thelockkeepers.co.uk/,57,74,100,96,6,0,25
9,Burger Boi - Gloucester,https://burgerboi.co.uk/,56,90,75,85,0,0,60
10,Five Guys Burgers and Fries Gloucester Quays,https://restaurants.fiveguys.co.uk/south-west/r11-gloucester-quays-outlet,56,88,88,83,0,0,46
11,Café René,http://www.caferene.co.uk/,55,68,100,98,4,0,15
12,The Linden Tree,https://gloucesterpartnership.org.uk/business/the-linden-tree/,55,69,100,80,0,0,50
13,The New Dawn Inn,http://newdawninn.co.uk/,55,70,100,87,0,0,33
14,Chuck Burgers,https://www.chuckburgerbar.com/,53,81,75,94,0,0,25
15,Poppins,http://www.poppinsrestaurants.co.uk/,53,91,75,79,4,0,30
16,Roots + Seeds Cafe Kitchen Gloucester Food Docks,https://www.rootsandseedskitchengarden.co.uk/,53,55,88,95,4,0,49
17,Royal Oak,https://www.hungryhorse.co.uk/pubs/gloucestershire/royal-oak?utm_source=g_places&utm_medium=locations&utm_campaign=HH_pubpage,53,56,88,94,8,0,40
18,Eat Unique,http://eat-unique.uk/,52,65,100,47,29,0,49
19,Farmhouse Deli,http://www.farmhousedeli.co.uk/,52,70,100,79,0,0,20
20,Hare & Hounds,https://www.greeneking.co.uk/pubs/gloucestershire/hare-and-hounds?utm_source=g_places&utm_medium=locations&utm_campaign=PL_pubpage,52,55,88,93,8,0,40
21,GO SPICE,https://gospice.co.uk/,51,76,75,94,0,0,17
22,Fly Wingz,https://flywingz.co.uk/,50,85,75,89,0,0,5
23,The Old Elm Inn,http://www.theoldelminn.co.uk/,50,68,75,98,0,0,20
24,Bombay Mix,https://bombaymixtuffley.co.uk/,48,100,57,75,0,0,15
25,Côte Gloucester,https://www.cote.co.uk/restaurant/gloucester/?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business?utm_source=extnet&utm_medium=yext,48,68,75,78,0,20,10
26,Indian Memories,http://www.indianmemories.co.uk/,48,61,75,87,0,0,35
27,Banchina Italian,https://banchina.co.uk/,47,61,43,97,13,0,46
28,Golden City,http://www.goldencitychurchdown.co.uk/,47,74,75,78,0,0,13
29,Tara,https://hatton-court.co.uk/eating-drinking-restaurants-gloucester-cotswolds/,47,59,100,66,0,0,16
30,Friar Tucks,http://www.thefriartucks.co.uk/,46,75,63,84,0,0,20
31,NepaleseChef,http://www.nepalesechef.co.uk/,46,60,43,98,0,0,60
32,Seymour Fryer,https://seymourfryer.co.uk/,46,65,75,82,0,0,17
33,Brimble's Cafe,http://www.brimblescafe.co.uk/,45,65,63,84,0,0,25
34,Nineteen at Brickhampton,https://www.brickhampton.co.uk/nineteenatbrickhampton,45,84,63,68,0,0,20
35,Khans Kebabs & Grill,https://khanskebab.co.uk/,44,57,75,80,0,0,17
36,Spice Master,https://thespicemaster.co.uk/,44,57,75,79,0,0,17
37,The Victoria Hotel,http://www.victoriainnhucclecote.co.uk/,44,62,75,78,0,0,10
38,Coney Hill Fish & Chips,http://coneyhillfishandchips.co.uk/,42,68,50,79,0,0,30
39,Moft Caffe,http://www.moftcaffe.com/,40,100,0,80,0,0,
40,Olympian Bites,http://olympianbites.co.uk/,39,100,0,75,0,0,
41,Saeeds,https://www.saeedbaltihouse.co.uk/,32,60,0,83,0,0,
42,Tim Hortons - Gloucester,https://www.timhortons.co.uk/,27,,0,95,0,0,
43,Dough from dough (events only),http://www.doughfromdough.com/,22,,0,77,0,0,
44,TANK,http://www.tankgloucester.co.uk/,21,,0,75,0,0,
