rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Wood Veterinary Group Animal Hospital,https://woodvets.co.uk/,79,74,88,99,84,60,49
2,"AAS Vets in Hucclecote, Gloucester",https://www.aasvets.co.uk/our-branches/hucclecote-pets-vets,77,62,100,78,74,60,92
3,The Brambles Veterinary Surgery Barnwood Road,http://www.brambles-vets.co.uk/,76,81,100,75,50,80,49
4,SPA Veterinary Services,http://www.spavets.co.uk/,74,82,75,95,73,40,70
5,Stroud Road Vets,http://www.stroudroadvets.co.uk/,74,57,88,85,62,60,100
6,Orchard View Vets,https://www.orchardviewvets.co.uk/,71,46,100,94,43,60,75
7,Church Road Veterinary Centre,https://churchroadvets.co.uk/,70,59,63,88,57,80,79
8,Vale Vets,https://www.valevets.co.uk/about-us/useful-links,56,62,100,47,42,0,75
9,Arvonia Vets Churchdown Veterinary Centre,https://www.cheltenhamvets.co.uk/,55,69,63,81,0,20,96
10,Cheltenham Equine Vets,http://www.cheltenhamequinevets.co.uk/,52,55,100,76,0,0,53
11,K Wakeman Veterinary Physiotherapy,https://www.kwakemanvetphysio.co.uk/,52,61,88,71,0,0,80
12,Cotswold Equine Physio,https://www.cotswoldequinephysio.co.uk/,51,65,100,69,0,0,40
13,Even Stride Veterinary Physiotherapy - Cheltenham,https://www.evenstridevetphysio.co.uk/,50,68,88,66,0,0,55
14,Four Wet Paws Hydrotherapy and Physiotherapy,http://www.fourwetpaws.com/,48,58,75,76,0,0,60
15,Poultry Health Services (at Wood Vets),https://www.poultryhealthservices.com/,48,51,100,56,0,0,70
16,BCVA Ltd,https://www.bcva.org.uk/,46,69,75,47,0,0,80
17,"Dragon Vets, Kingsway",https://www.dragonvet.co.uk/?utm_source=gmb&utm_medium=organic,45,57,0,99,42,20,
18,Gloucester Laboratories at Wood Veterinary Group,http://www.woodvet.co.uk/,45,95,38,61,39,0,3
19,Pet Care Scheme at SPA Vets Painswick Road,https://www.pdsa.org.uk/pet-care-scheme-clients,45,63,75,69,0,0,35
20,Jollyes Pet Clinic - Gloucester,https://www.jollyes.co.uk/services/community-pet-clinic?utm_source=google&utm_medium=organic&utm_campaign=local_listing_CPC_Gloucester,41,36,75,50,4,0,83
21,Splash Canine Hydrotherapy Centre,https://www.sundeanvets.co.uk/?utm_source=gmb&utm_medium=organic,41,71,0,98,21,0,
