rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Albany Windows Ltd,http://www.albanywindows.co.uk/,89,,100,85,69,100,87
2,"Glevum Windows, Doors & Conservatories",https://www.glevum.co.uk/,84,73,88,94,70,100,70
3,C & L Windows & Conservatories Ltd,https://www.candlwindows.co.uk/?utm_source=google+&utm_medium=business&utm_campaign=organic,78,55,100,81,68,100,58
4,Shire Window Solutions,http://www.shirewindowsolutions.co.uk/,74,,100,69,46,60,91
5,Gloucester Windows And Doors,https://www.gloucesterwindowsanddoors.co.uk/,73,54,100,71,83,80,37
6,Q B D Ltd,https://www.qbdltd.co.uk/,73,74,86,100,52,40,70
7,Cheltenham Glass and Glazing,https://www.cheltenhamglassandglazing.co.uk/,71,70,75,81,39,100,46
8,Adams Glass and Glazing Ltd',http://adamsglassglazing.co.uk/,70,39,100,91,33,100,37
9,truhouse. Simply windows and doors,https://www.truhouse.co.uk/showrooms/stroud/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_id=gbp,69,47,88,99,43,40,100
10,Cotswold Conservatories,https://www.cotswoldconservatories.co.uk/?utm_source=GMBlisting&utm_medium=organic,67,81,100,100,10,20,67
11,Tradeframe.com,http://tradeframe.com/,66,85,100,96,10,20,49
12,Joedan Windows & Doors,https://www.joedan.co.uk/,63,75,100,94,13,0,70
13,Bifoldshop,http://www.bifoldshop.co.uk/,61,82,100,87,0,0,70
14,The Little Conservatory Company LTD,https://www.littleconservatorycompany.co.uk/?utm_source=Google+My+Business&utm_campaign=Google+My+Business,61,67,100,84,13,0,91
15,McGonagle Windows & Doors,https://glazingupvcrepairs.co.uk/,60,63,100,95,29,0,41
16,Safe & Secure Windows & Doors LTD,https://www.safe-and-secure.uk/,60,63,100,100,41,0,12
17,Stroud Valley Windows Ltd,http://www.stroudvalleywindows.co.uk/,60,99,100,71,25,0,20
18,"ClearChoice Windows, Doors & Glazing Ltd",http://www.clearchoicewdg.co.uk/,59,,100,73,46,0,58
19,G K Joinery Ltd,http://www.gkjoinery.com/,59,85,88,87,13,0,53
20,Hi-Lite Windows Ltd,http://www.hilitewindows.com/,59,60,100,92,31,0,42
21,Clearway Doors & Windows,http://www.clearwaydoorsandwindows.co.uk/,58,73,100,77,0,20,46
22,Original Sash Window Solutions,https://www.sash-windows-repair.co.uk/,58,81,100,73,0,0,70
23,Atlas Aluminium,https://www.atlas-aluminium.co.uk/,57,74,100,73,0,0,79
24,Countryside Windows,https://www.countrysidewindows.co.uk/,57,,100,78,21,0,70
25,Roman Glass Ltd,https://romanglass.co.uk/,57,83,88,80,0,0,66
26,Warmseal Windows,http://www.warmseal-windows.co.uk/,55,26,100,94,38,0,53
27,Happy Glaze,http://www.happyglaze.co.uk/,54,74,100,67,8,0,49
28,Mercury Glazing Supplies Ltd,http://www.mercuryglazing.co.uk/,54,39,100,85,13,0,74
29,Alfram,https://alfram.co.uk/,53,99,88,59,4,0,33
30,Bifolding Door Factory,https://www.bifoldingdoorfactory.co.uk/,53,78,100,61,0,0,53
31,Craftswold,https://www.craftswold.co.uk/,53,62,75,80,29,0,55
32,UltraView (formerly Cotswold Windows),https://www.ultraview.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile&utm_content=gmb_link,53,65,100,70,21,0,33
33,B B Fabrications UK Ltd,https://bbfabricationsltd.co.uk/,52,51,100,63,0,0,87
34,Cotswold Architectural Products Ltd,https://www.cotswoldap.com/?utm_source=Google+Business+Profile&utm_medium=Cotswold+Architectural+Products&utm_campaign=Cotswold+Architectural+Products+Google+Business+Profile,52,72,100,60,0,0,53
35,EcoHaus Internorm - South West - Appointment Only,https://www.ecohausinternorm.com/?utm_source=Google&utm_medium=GMB&utm_campaign=GMB,52,,88,78,7,0,70
36,L+L Installations Ltd,http://www.ll-installations.co.uk/,52,60,75,77,8,0,79
37,Antony Jones Window Wizard,http://www.windowwizardservices.co.uk/,51,65,75,83,29,0,20
38,Choice Trade Frames Ltd,http://www.choicetradeframes.co.uk/,51,57,88,67,25,0,53
39,CK Steel & Aluminium Doors,https://steeldoorscheltenham.uk/,51,67,67,97,0,0,
40,Prior Products Cheltenham,https://www.priorproducts.co.uk/window-and-doors-installers/window-installers-cheltenham,51,81,100,47,0,0,
41,Skyline Systems Ltd,https://www.gloucestershiredoubleglazing.co.uk/double-glazing-in-bishops-cleeve/,51,56,75,58,17,40,
42,Williams Windows,http://www.wonderswithwindows.co.uk/,51,60,88,76,15,0,37
43,Barry Hunt Windows Ltd.,http://www.barryhunt.com/,50,96,33,63,42,0,
44,C&K Joinery Ltd,https://www.candkjoinery.co.uk/,50,56,100,50,0,0,90
45,Ellwood Windows & Conservatories Ltd,http://www.ellwoodglos.co.uk/,50,69,100,60,0,0,46
46,Linden Glazing,https://www.lindenglazing.com/,50,67,88,70,25,0,10
47,Manor windows LTD,http://www.manorwindows.co.uk/,50,64,88,67,17,0,35
48,Radford Windows,https://www.radfordwindows.net/,50,70,75,65,25,0,46
49,Renosash,https://www.renosash.co.uk/,50,49,100,76,0,0,50
50,Severnview Home Improvements,https://www.severn-view.co.uk/,50,53,75,72,0,20,67
51,Trinity Windows & Conservatories,http://www.trinitywindows.net/,50,67,75,73,25,0,35
52,"Firmfix Windows, Doors & Conservatories",https://www.firmfix.co.uk/,49,22,100,79,21,0,60
53,LP windows ltd,https://lpwindows.uk/,49,66,88,77,8,0,17
54,Trade Smart Building Plastics Ltd,http://tradessmart.co.uk/,49,64,88,69,0,0,45
55,ACT Direct Ltd,https://actdirect.co.uk/,48,51,88,78,4,0,37
56,Bence Windows & Doors,http://www.bencewindowsanddoors.co.uk/,48,64,75,69,21,0,30
57,Betec Joinery Cirencester,https://betecjoinery.co.uk/,48,84,75,61,0,0,35
58,Cheltenham Town Glazing,http://ctglazing.co.uk/,48,53,75,79,4,20,33
59,Cleeve Window Centre,http://www.cleevewindowcentre.co.uk/,48,82,75,58,0,0,
60,Diamond Cut Glass Ltd,http://www.diamondcutglass.co.uk/,48,70,88,70,0,0,25
61,G T Window Products Ltd,https://www.gtwindowproducts.co.uk/,48,62,100,47,0,0,58
62,Manor Glazing Stroud Ltd,http://strouddoubleglazing.co.uk/,48,66,75,76,4,0,35
63,MD Windows,http://www.mdwindows.co.uk/,48,31,100,70,8,20,35
64,Rawington Limited,http://www.rawington.com/,48,62,100,77,0,0,3
65,South West uPVC Ltd,http://www.swupvc.co.uk/,48,99,38,67,21,0,41
66,Shane Ludlow,http://www.aylmerandludlow.co.uk/,47,72,75,66,0,0,46
67,Southwest carpentry & joinery,https://southwestcarpentryjoinery.co.uk/,47,72,75,72,0,0,35
68,Cleeve Windows,https://www.cleevewindows.co.uk/,46,34,100,68,8,20,12
69,Cotswold Sash Services,https://www.cotswoldsashservices.co.uk/,46,87,75,62,0,0,15
70,Centurion Windows And Doors LTD,http://www.centurionwindowsanddoorsltd.co.uk/,45,63,100,54,0,0,16
71,"Hall & Jones Windows,Doors & Conservatories Ltd.",http://hallandjoneswindowsanddoors.co.uk/,45,,88,71,8,0,33
72,Heavenly Windows & Conservatories,http://www.heavenlywindows.co.uk/,45,73,63,66,13,0,29
73,Manor Glazing,http://www.manorglazingstroud.co.uk/,45,66,75,68,0,0,35
74,A&B Glass Newbuild Division South West,http://www.abglass.co.uk/,44,44,88,55,0,0,66
75,Conservatory Roofing Solutions Ltd,https://www.conservatoryroofingsolutions.com/,44,59,75,64,4,0,35
76,NexGen Windows (Gloucester),https://www.nexgenwindows.co.uk/,44,56,75,47,0,0,83
77,Oakleigh Joinery Ltd,https://www.oakleighjoinery.co.uk/,44,56,75,73,0,0,35
78,Regent Windows,http://www.regentwindows.co.uk/,44,100,29,89,0,0,0
79,Misty to clear Glos,http://mistytoclearglos.co.uk/,43,37,88,58,33,0,16
80,Outlook Bespoke Limited,http://www.outlookbespoke.com/,43,,88,68,0,0,35
81,Windowcraft Designs Limited,https://windowcraft.co.uk/,43,61,63,74,0,0,33
82,P&S Installations,http://pandsinstallations.co.uk/,42,61,63,47,0,0,75
83,Window Openers Direct,http://www.windowopeners.co.uk/,42,71,75,50,0,0,30
84,Active Trade Frames Ltd,http://www.activetradeframes.co.uk/,41,28,88,73,0,0,33
85,Cheltenham Bespoke Joinery Ltd,https://www.cheltenhambespokejoinerylimited.co.uk/,41,82,33,68,0,0,
86,Dave Williams Glazing and Property Care Ltd,http://glazingandpropertycare.co.uk/,41,48,100,42,0,0,28
87,Window Pains Stroud,http://www.windowpainsstroud.co.uk/,41,54,63,69,0,0,40
88,"Sun Trade Windows, Doors & Conservatories Gloucester",http://suntradewindows.com/,39,15,100,61,0,0,33
89,RP Baker windows and doors,http://rpbaker.co.uk/,38,62,57,65,0,0,15
90,Gloucester Trade Frames Ltd,https://www.gloucestertradeframes.co.uk/,37,,29,71,29,20,21
91,Diy Conservatory Shop,http://www.diyconservatoryshop.co.uk/,36,56,50,50,0,0,50
92,Three Counties Joinery,http://www.threecountiesjoinery.co.uk/,36,99,14,61,0,0,8
93,CS GLASS LTD,http://www.cs-glass-cheltenham.com/,35,,57,74,0,0,15
94,Global Conservatories Ltd,https://www.cheltenhamconservatories.co.uk/,34,,75,44,13,0,15
95,Outlet Trade Frames,http://www.outlet-tradeframes.co.uk/,22,,0,78,0,0,
96,Amos Joinery,http://www.amosjoinery.co.uk/,18,,0,64,0,0,
97,Heritage Sash Windows Ltd,http://www.heritage-sash-windows.co.uk/,18,,0,63,0,0,
98,K-ban Ltd,http://www.k-ban.co.uk/,17,,0,58,0,0,
99,UK Frame Solutions,https://www.ukframesolutions.com/,17,,0,61,0,0,
