rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Oc Architects,https://www.ocarchitects.co.uk/,74,68,88,77,72,80,49
2,Offgrid Architecture,http://offgridarchitecture.co.uk/,70,64,88,84,41,80,50
3,N W D Design,https://www.nwddesign.co.uk/,64,58,88,76,38,80,20
4,Edward Tucker Architecture Ltd,http://www.edwardtucker.co.uk/,61,23,88,86,39,80,40
5,Pendle Property Design,http://www.pendlepropertydesign.co.uk/,61,66,63,86,42,60,25
6,Home Plan Design Services,http://www.home-plan-design.co.uk/,59,83,38,86,55,40,30
7,Allan Corfield Architects Ltd,https://acarchitects.biz/,58,69,100,67,16,0,83
8,DW Architech Limited,https://www.dwarchitech.co.uk/,58,67,100,67,46,0,41
9,Sullivan,https://iansullivanarchitecture.co.uk/,58,55,75,68,40,60,35
10,DPDS Consulting Group,http://www.dpds.co.uk/,56,49,100,78,34,0,53
11,Rand Planning Consultancy,http://www.randplanningconsultancy.co.uk/,56,71,75,96,33,0,24
12,MJF CAD Solutions Ltd.,http://www.mjfcadsolutions.co.uk/,55,46,88,85,53,0,28
13,Planning Drawings,https://planningdrawings.co.uk/,53,99,88,77,0,0,5
14,Easton Bevins,http://www.eastonbevins.co.uk/,52,74,88,67,0,0,63
15,Construction Edge Swindon Ltd,http://www.construction-edge.co.uk/,49,56,75,92,0,0,46
16,Squires Planning,https://squiresplanning.co.uk/,48,51,75,67,0,0,96
17,R & R Design and Build Contractors Limited,http://www.r-r-designandbuild.com/,47,67,75,83,0,0,15
18,Abode Creative,https://www.abodecreative.design/,46,58,100,67,0,0,5
19,Lawrence / Swindon Building Plans,https://www.swindonbuildingplans.co.uk/,46,100,43,58,29,0,17
20,Sovereign Structures,https://sovereignstructures.co.uk/,46,68,75,79,0,0,20
21,Wiltshire Build Solutions,http://wiltshirebuildsolutions.co.uk/,46,58,100,59,0,0,30
22,Halzac Design Ltd,http://www.halzacdesign.co.uk/,45,70,75,76,0,0,5
23,Silicon EC UK Limited,http://www.siliconec.co.uk/,45,46,75,81,0,0,42
24,Lawrence Wills Architectural Services,http://www.lawrencebuildingplans.co.uk/,42,99,29,73,7,0,3
25,Neil Armstrong Architectural Services,https://www.neilbarmstrong.co.uk/,42,,0,63,52,60,
26,Hawkridge Studio,https://hawkridge.studio/,41,65,63,79,0,0,0
27,NC Architects Ltd,http://www.nc-architects.com/,41,,0,78,7,80,
28,JT Plan & Design,http://jtplananddesign.co.uk/,39,59,63,59,0,0,30
29,Airsculpt Tensile Limited tensile fabric structure company,http://www.airsculpt.co.uk/,31,75,0,63,0,0,
