rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Drove Vets Stratton | Swindon,https://www.drovevets.co.uk/branches/stratton/,93,82,100,97,87,100,
2,Eastcott Vets - Clive Parade Clinic | Swindon,https://www.eastcottvets.co.uk/our-branches/cricklade-road-clinic,87,71,100,82,90,100,83
3,Thameswood Veterinary Clinics,https://thameswoodvets.co.uk/,75,57,100,78,53,100,53
4,Lawn Vets Swindon,http://lawnvets.co.uk/,72,58,75,80,46,100,75
5,Purton Vets,https://www.purtonvets.co.uk/?utm_source=gmb&utm_medium=organic&utm_campaign=attribute,71,69,100,99,21,60,50
6,Vet's Klinic Swindon,http://www.vetsklinic.co.uk/,71,46,88,89,63,80,53
7,"The Bridge Veterinary Clinic, Highworth",http://bridgevetclinic.com/?utm_source=google&utm_medium=organic&utm_campaign=VP0462,67,81,88,63,38,60,62
8,Eastcott Veterinary Referrals,http://www.eastcottreferrals.co.uk/,63,72,88,76,48,0,83
9,Archway Veterinary Surgery,http://www.archwayvets.co.uk/,58,49,88,82,42,20,45
10,The George Veterinary Group - Royal Wootton Bassett,https://georgevetgroup.co.uk/,54,74,88,82,0,0,49
11,Drove Farm Vets,https://www.drovefarmvets.co.uk/,50,61,75,63,23,0,70
12,Cloud 9 Vets,https://cloud9vets.co.uk/areas-we-cover/swindon/,49,,100,67,4,0,53
13,Woozelbears Hydrotherapy and Grooming,http://www.woozelbears.com/,48,33,100,74,0,0,62
14,Animal Physiotherapy Ltd,http://www.animalphysiotherapy.org.uk/,47,50,75,70,0,0,83
15,Shaw Veterinary Centre,https://www.shawvetcentre.co.uk/?utm_source=gmb&utm_medium=organic&utm_campaign=attribute,46,60,0,99,41,20,
16,Jollyes Pet Clinic - Swindon,https://www.jollyes.co.uk/services/community-pet-clinic?utm_source=google&utm_medium=organic&utm_campaign=local_listing_CPC_Swindon,44,40,75,61,0,0,83
17,Canine Hydrotherapy with Mia Hanton Veterinary Physiotherapy,https://www.miahantonvetphysio.co.uk/,39,42,100,44,0,0,15
