rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Taylor & Co Architects - Worcester,https://www.taylorandcoarchitects.co.uk/,68,51,100,85,68,40,49
2,EP Architecture Ltd,http://www.epworcester.co.uk/,67,84,100,78,55,20,35
3,Holmes Architects,https://www.holmesarchitects.co.uk/,62,69,88,67,38,40,50
4,Randall Architectural limited,http://www.randallarchitectural.co.uk/,61,56,88,91,68,0,40
5,Vivid Architects,http://www.vividarchitects.co.uk/,60,89,88,78,0,40,33
6,Nick Joyce Architects LTD,http://www.nickjoycearchitects.co.uk/,59,63,75,81,62,20,30
7,DJD Architects,https://www.djdarchitects.co.uk/,57,100,33,79,0,60,
8,Glazzard Architects Ltd,http://www.glazzards.com/,57,61,88,84,42,0,41
9,JPL Architectural Design Ltd.,https://www.jplarchitecturaldesign.co.uk/,55,61,75,84,42,0,42
10,Keystone Architecture and Design LTD,http://www.keystonead.co.uk/,55,52,75,81,45,0,67
11,Lavika Architects,https://www.lavikaarchitects.co.uk/,54,64,75,81,45,0,35
12,Lett & Sweetland,https://www.lettsweetland.co.uk/,54,85,75,73,4,20,40
13,TR Architectural Services,https://www.trarchitecturalservices.co.uk/,53,61,88,87,0,0,55
14,Zebra Architects,https://www.zebraarchitects.co.uk/,52,54,100,76,17,20,0
15,Maverick Visuals,http://www.maverickvisuals.uk/,51,56,100,81,0,0,37
16,HERLIG ARCHITECTURE,https://herligarchitecture.com/,50,42,88,67,25,20,37
17,ONE Creative environments (ONE),http://www.oneltd.com/,48,,67,81,26,0,
18,KKE Architects,http://www.kkearchitects.co.uk/,47,29,88,67,25,0,66
19,Framewrap UK,https://framewrap.co.uk/,43,60,75,63,0,0,37
20,Insideout architecture + interiors ltd,http://www.insideout-ai.com/,40,65,63,59,0,0,25
21,The Feber,http://thefeber.co.uk/,39,89,38,63,0,0,13
22,GRM Web Limited,http://grm-web.co.uk/,36,66,50,59,0,0,5
23,Boughton Butler,http://www.boughtonbutler.co.uk/,20,,14,63,0,0,3
24,Clerici Design Ltd,http://www.clericidesign.com/,18,,0,63,0,0,
25,Worcester Elite Architects,http://www.elitedirectory.co.uk/worcester,18,,0,63,0,0,
