rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Speller Metcalfe Ltd,http://www.spellermetcalfe.com/,64,75,100,84,34,0,66
2,Court Property Developers,http://www.courtproperty.co.uk/,63,81,88,91,21,20,50
3,General Builds,https://www.generalbuilds.co.uk/,63,71,100,90,30,0,58
4,James Grove Ltd-Worcester Tree Surgeons & Firewood Deliveries,http://www.james-grove.co.uk/,58,59,100,100,19,0,38
5,Preece and Sons Ltd,https://www.preeceandsonsltd.co.uk/,56,59,88,85,32,0,50
6,W Maggs Construction,http://www.wmaggsconstruction.com/,56,58,88,87,13,20,40
7,WP Rendering,http://www.wprendering-plastering.co.uk/,56,,100,97,0,0,53
8,Lioncourt Homes - The Hamlet,https://www.lioncourthomes.com/housing-developments/worcestershire/the-hamlet/,55,73,88,67,12,0,74
9,Montel Civil Engineering,http://montelcivilengineering.co.uk/,55,71,75,75,4,0,100
10,Vanguard Contracts Ltd,http://www.vanguardcontracts.co.uk/,55,,100,83,0,0,70
11,VolkerLaser,http://www.volkerlaser.co.uk/,55,74,75,82,0,0,83
12,ALL BRITAIN CONSTRUCTION,http://allbritainconstruction.co.uk/,53,56,100,53,21,0,80
13,Allbritain-Barefoot Ltd,http://www.allbritain.co.uk/,53,58,100,63,5,0,80
14,Claines Construction,http://clainesconstruction.co.uk/,52,,100,76,35,0,12
15,H & B Refurbishments Ltd,http://hbrefurbishmentsltd.co.uk/,51,67,75,82,0,0,63
16,SH Construction LTD,https://businewmap.org/details/sh-construction-ltd-ChIJ68S,51,80,88,78,0,0,17
17,The Waterside at Royal Worcester by Berkeley,http://www.berkeleygroup.co.uk/developments/worcestershire/worcester/the-waterside-at-royal-worcester,51,63,100,61,0,0,60
18,D-S Building & Landscaping,http://www.d-sbuildingservices.co.uk/,50,,100,83,0,0,37
19,Emzical Entertainment,https://emzical-entertainment.ueniweb.com/,50,58,100,63,0,0,58
20,DMR General Builder,http://dmrgeneralbuilder.co.uk/,49,84,88,63,0,0,17
21,J Pack General Builder,http://www.jpackbuildingservices.co.uk/,49,99,50,76,20,0,12
22,Selbourne Homes Ltd,https://businformaps.org/details/selbourne-homes-ltd-ChIJsTQ,49,83,88,63,0,0,17
23,Titan Construction and Building Services LTD,https://www.titan-construction.uk/,49,65,75,86,8,0,25
24,Crush And Save,http://www.crushandsave.co.uk/,48,83,75,78,0,0,10
25,Hemming Carpentry and Construction Services Ltd,http://www.hemmingcarpentry.co.uk/,48,57,75,84,0,0,50
26,Lawrence And Sons Building,http://www.lawrenceandsons.co.uk/,48,55,100,65,0,0,37
27,Owen Developments (Worcester) Ltd,http://www.owendevelopmentsworcester.co.uk/,48,62,75,63,8,0,63
28,Property Development Services,https://dotukmap.org/details/property-development-services-ChIJ278,48,80,88,63,0,0,17
29,S J Gill Property Maintenance,https://www.malvernmaintenance.co.uk/,48,55,88,89,0,0,20
30,JMC Surface Repair,http://www.jmcsurfacerepair.com/,47,48,75,93,0,0,35
31,SG Building Services,https://sgbuildingservice.com/,47,56,100,67,0,0,25
32,Cottrill’s carpentry LTD,https://cottrillscarpentryltd.co.uk/,46,57,75,79,0,0,35
33,Kepax construction site,https://community.griffiths.co.uk/our_projects/kepax-walking-and-cycling-bridge/,45,46,63,76,0,0,80
34,Prestige Bricklaying,http://prestigebricklaying.co.uk/,44,50,75,81,0,0,28
35,1Eighty Roofing Solutions Ltd,https://1-eighty.co.uk/,43,,88,67,0,0,30
36,Guthrie Roberts Ltd,http://www.guthrieroberts.com/,43,57,88,56,0,0,28
37,Luke Perkins property renovations and maintenance,http://lpprm.co.uk/,43,66,75,63,0,0,25
38,Miller Homes West Midlands,https://www.millerhomes.co.uk/,43,,75,63,4,0,60
39,Devaney Construction,https://www.devaneyconstruction.com/,42,,75,63,0,0,58
40,S & S Builders,http://www.sandsbuilders.biz/,42,87,29,59,25,0,37
41,AJM Carpentry & Joinery,http://www.worcestercarpenter.co.uk/,39,60,50,79,0,0,10
42,Blocked Drain Worcester,https://www.totallydrainageltd.com/worcestershire,38,,63,82,0,0,15
43,MITRE OAK LTD,http://mitreoak.co.uk/,38,60,33,79,0,0,
44,Andy Johnson - Chimney Sweep & Stove Installer - Worcestershire,http://www.andysweeps.com/,37,,50,89,0,0,21
45,McMinn Developments,http://www.mcminndevelopments.co.uk/,36,74,29,67,0,0,20
46,Bourne Site Services,http://www.bournesiteservices.co.uk/,33,,63,65,0,0,5
47,Five Star Building,http://www.fivestarbuilding.co.uk/,26,,29,63,0,0,24
48,Britannia Site Solutions Limited,http://www.britannia-ssl.com/,23,,0,79,0,0,
49,Merseyside Fencing Ltd,https://merseysidefencing.co.uk/,23,,0,82,0,0,
50,Straight-Line Group Services,https://www.straight-linecivils.co.uk/,23,,0,81,0,0,
51,The Roofing Company Worcester,https://theroofingcompanyuk.co.uk/,20,,0,71,0,0,
52,County Property Services (Worcs),https://copros.co.uk/,19,,0,67,0,0,
53,Baker Homes & Developments Ltd,http://www.bakerhomes.co.uk/,18,,0,63,0,0,
54,E L Kennedy Ltd,https://www.e-l-kennedy.co.uk/,18,,0,63,0,0,
55,Real Group of Companies Limited,http://realgroupcompanies.co.uk/,17,,0,59,0,0,
