rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Speller Metcalfe Ltd,http://www.spellermetcalfe.com/,60,77,100,68,31,0,67
2,General Builds,https://www.generalbuilds.co.uk/,59,70,100,72,32,20,33
3,Court Property Developers,http://www.courtproperty.co.uk/,58,81,88,73,21,0,67
4,James Grove Ltd-Worcester Tree Surgeons & Firewood Deliveries,http://www.james-grove.co.uk/,57,58,100,80,19,0,67
5,Vanguard Contracts Ltd,http://www.vanguardcontracts.co.uk/,56,60,100,67,25,0,67
6,W Maggs Construction,http://www.wmaggsconstruction.com/,54,65,88,69,4,40,33
7,Preece and Sons Ltd,https://www.preeceandsonsltd.co.uk/,53,61,88,68,23,20,33
8,Lioncourt Homes - The Hamlet,https://www.lioncourthomes.com/housing-developments/worcestershire/the-hamlet/,50,72,88,50,9,0,67
9,ALL BRITAIN CONSTRUCTION,http://allbritainconstruction.co.uk/,49,56,100,43,21,20,33
10,Montel Civil Engineering,http://montelcivilengineering.co.uk/,49,72,75,60,4,0,67
11,D-S Building & Landscaping,http://www.d-sbuildingservices.co.uk/,48,57,100,66,0,0,33
12,Claines Construction,http://clainesconstruction.co.uk/,47,50,100,61,33,0,0
13,SH Construction LTD,https://businewmap.org/details/sh-construction-ltd-ChIJ68S,47,84,88,63,0,0,0
14,VolkerLaser,http://www.volkerlaser.co.uk/,47,59,75,66,0,0,67
15,WP Rendering,http://www.wprendering-plastering.co.uk/,47,60,100,77,0,0,0
16,Titan Construction and Building Services LTD,https://www.titan-construction.uk/,46,65,75,69,4,0,33
17,Allbritain-Barefoot Ltd,http://www.allbritain.co.uk/,45,58,100,47,2,0,33
18,Crush And Save,http://www.crushandsave.co.uk/,45,87,75,63,0,0,0
19,Lawrence And Sons Building,http://www.lawrenceandsons.co.uk/,45,56,100,52,0,0,33
20,SG Building Services,https://sgbuildingservice.com/,45,57,100,50,0,0,33
21,The Waterside at Royal Worcester by Berkeley,http://www.berkeleygroup.co.uk/developments/worcestershire/worcester/the-waterside-at-royal-worcester,45,60,100,49,0,0,33
22,1Eighty Roofing Solutions Ltd,https://1-eighty.co.uk/,44,82,88,50,0,0,0
23,Andy Johnson - Chimney Sweep & Stove Installer - Worcestershire,http://www.andysweeps.com/,44,100,50,71,0,0,0
24,DMR General Builder,http://dmrgeneralbuilder.co.uk/,44,85,88,47,0,0,0
25,H & B Refurbishments Ltd,http://hbrefurbishmentsltd.co.uk/,44,63,75,66,0,0,33
26,J Pack General Builder,http://www.jpackbuildingservices.co.uk/,44,100,50,61,13,0,0
27,Property Development Services,https://dotukmap.org/details/property-development-services-ChIJ278,44,84,88,47,0,0,0
28,Selbourne Homes Ltd,https://businformaps.org/details/selbourne-homes-ltd-ChIJsTQ,44,84,88,47,0,0,0
29,Emzical Entertainment,https://emzical-entertainment.ueniweb.com/,43,53,100,47,0,0,33
30,Hemming Carpentry and Construction Services Ltd,http://www.hemmingcarpentry.co.uk/,43,57,75,67,0,0,33
31,Luke Perkins property renovations and maintenance,http://lpprm.co.uk/,43,76,75,47,0,0,33
32,Prestige Bricklaying,http://prestigebricklaying.co.uk/,43,57,75,65,0,0,33
33,Cottrill’s carpentry LTD,https://cottrillscarpentryltd.co.uk/,42,54,75,63,0,0,33
34,JMC Surface Repair,http://www.jmcsurfacerepair.com/,42,43,75,74,0,0,33
35,Kepax construction site,https://community.griffiths.co.uk/our_projects/kepax-walking-and-cycling-bridge/,42,50,63,61,0,0,67
36,Miller Homes West Midlands,https://www.millerhomes.co.uk/,42,68,75,47,4,0,33
37,S J Gill Property Maintenance,https://www.malvernmaintenance.co.uk/,42,52,88,71,0,0,0
38,Guthrie Roberts Ltd,http://www.guthrieroberts.com/,41,60,88,42,0,0,33
39,Owen Developments (Worcester) Ltd,http://www.owendevelopmentsworcester.co.uk/,41,61,75,47,8,0,33
40,Devaney Construction,https://www.devaneyconstruction.com/,40,60,75,47,0,0,33
41,Bourne Site Services,http://www.bournesiteservices.co.uk/,38,59,63,52,0,0,33
42,Five Star Building,http://www.fivestarbuilding.co.uk/,38,98,29,47,0,0,33
43,Blocked Drain Worcester,https://www.totallydrainageltd.com/worcestershire,37,54,63,66,0,0,0
44,AJM Carpentry & Joinery,http://www.worcestercarpenter.co.uk/,35,61,50,63,0,0,0
45,MITRE OAK LTD,http://mitreoak.co.uk/,35,62,33,63,0,0,
46,S & S Builders,http://www.sandsbuilders.biz/,35,67,29,44,25,0,33
47,McMinn Developments,http://www.mcminndevelopments.co.uk/,33,67,29,50,0,0,33
48,The Roofing Company Worcester,https://theroofingcompanyuk.co.uk/,25,57,0,57,0,0,
49,Straight-Line Group Services,https://www.straight-linecivils.co.uk/,21,29,0,65,0,0,
50,Merseyside Fencing Ltd,https://merseysidefencing.co.uk/,19,,0,65,0,0,
51,Britannia Site Solutions Limited,http://www.britannia-ssl.com/,18,,0,63,0,0,
52,County Property Services (Worcs),https://copros.co.uk/,14,,0,50,0,0,
53,Baker Homes & Developments Ltd,http://www.bakerhomes.co.uk/,13,,0,47,0,0,
54,E L Kennedy Ltd,https://www.e-l-kennedy.co.uk/,13,,0,47,0,0,
55,Real Group of Companies Limited,http://realgroupcompanies.co.uk/,13,,0,44,0,0,
