rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,"Severn Veterinary Centre, Tybridge House",http://www.severnvets.co.uk/,79,58,88,86,78,100,62
2,Lowesmoor House Veterinary Centre,http://www.lowesmoorvets.co.uk/?utm_source=gmb&utm_medium=organic&utm_campaign=attribute,78,47,100,99,60,80,75
3,Henwick Vets,http://www.henwickvets.co.uk/,76,68,88,97,76,60,50
4,Brentknoll Vets in Worcester,https://www.worcestervets.co.uk/,68,58,100,88,52,20,83
5,MacArthur Barstow & Gibbs - Worcester Vets,http://mbgvet.com/,65,82,100,85,51,0,41
6,Dignipets Worcester,http://dignipets.co.uk/area/?area=worcester,61,62,88,96,25,0,83
7,Stocks Veterinary Centre - Lower Wick,https://www.stocksvets.co.uk/?utm_source=gmb&utm_medium=organic&utm_campaign=attribute,59,76,0,97,45,80,
8,Ambleside Veterinary Clinic,http://www.amblesidevet.com/,57,59,63,82,3,80,42
9,My Home Pet Vet Ltd,http://www.myhomepetvet.co.uk/,54,88,75,70,38,0,15
10,St Peters Vets Worcester,http://www.thewvg.co.uk/,52,59,63,70,61,0,42
11,Breath Eazy Ltd,https://www.breatheazy.co.uk/,49,61,100,58,0,0,53
12,The Mind Vet - Behavioural Medicine Service,https://www.themindvet.co.uk/,48,67,88,72,0,0,30
13,Morris a D,https://bestukdetails.top/details/morris-a-d-ChIJF6F,47,79,88,59,2,0,17
14,Best Friends Veterinary Surgery,http://www.best-friends.co.uk/,46,36,75,75,8,0,80
15,Worcester Vet Physio,https://www.worcestervetphysio.co.uk/,43,55,75,61,9,0,30
