name,url,gbp_query
WBC Group (Western Building Consultants),https://www.westernbuildingconsultants.com/,WBC Group (Western Building Consultants) architectural practice Bath
Dimension 22 Ltd,http://www.dimension22.co.uk/,Dimension 22 Ltd architectural practice Bath
Lynea Architects Ltd,https://www.lynea.co.uk/,Lynea Architects Ltd architectural practice Bath
Curtis Cryer Architects,http://www.curtiscryer.co.uk/,Curtis Cryer Architects architectural practice Bath
Marptree Design & Build limited,http://www.marptree.com/,Marptree Design & Build limited architectural practice Bath
Lacey Architecture Ltd,http://www.lacey-architecture.co.uk/,Lacey Architecture Ltd architectural practice Bath
Woolf Interior Architecture & Design,https://www.woolfinterior.com/,Woolf Interior Architecture & Design architectural practice Bath
Etons Of Bath,https://www.etonsofbath.com/,Etons Of Bath architectural practice Bath
Silvan Architects,http://www.silvanarchitects.com/,Silvan Architects architectural practice Bath
Bath Heritage Building ltd,https://www.bathheritagebuilding.co.uk/,Bath Heritage Building ltd architectural practice Bath
Designscape Architects,http://www.dscape.co.uk/,Designscape Architects architectural practice Bath
TEA Architects,http://www.tea-architects.co.uk/,TEA Architects architectural practice Bath
Feilden Clegg Bradley Studios,http://www.fcbstudios.com/,Feilden Clegg Bradley Studios architectural practice Bath
Sims Hilditch,https://www.simshilditch.com/,Sims Hilditch architectural practice Bath
CaSA Architects,https://www.casa-architects.co.uk/,CaSA Architects architectural practice Bath
BBA Architects Ltd,http://www.bba-architects.co.uk/,BBA Architects Ltd architectural practice Bath
SRA Architects,http://www.sra-architects.co.uk/,SRA Architects architectural practice Bath
Mark Wray Architects,https://markwray.co.uk/,Mark Wray Architects architectural practice Bath
Studio Four Point Ten Architects,http://www.fourpointten.co.uk/,Studio Four Point Ten Architects architectural practice Bath
Bright Studio Architects,http://www.brightstudioarchitects.co.uk/,Bright Studio Architects architectural practice Bath
Hetreed Ross Architects,http://www.hetreedross.com/,Hetreed Ross Architects architectural practice Bath
Sicolo Webb Architects,https://www.sicolowebb.com/,Sicolo Webb Architects architectural practice Bath
MORIarchitects,http://moriarchitects.co.uk/,MORIarchitects architectural practice Bath
Batterham Smith Architects,http://batterhamsmitharchitects.co.uk/,Batterham Smith Architects architectural practice Bath
Stride Treglown Bath,http://stridetreglown.com/contact/bath/,Stride Treglown Bath architectural practice Bath
GBH Historic Building Advice,https://gbhhbadvice.wixsite.com/mysite,GBH Historic Building Advice architectural practice Bath
Burnford Architecture,http://burnfordarchitecture.com/,Burnford Architecture architectural practice Bath
Maack Architects,http://maack.co.uk/,Maack Architects architectural practice Bath
