name,url,gbp_query
Strattons and Partners,https://www.strattonsandpartners.com/,Strattons and Partners Estate Agents Bath
Savills Bath,https://www.savills.co.uk/estate-agents/south-west-england/somerset/savills-bath.aspx,Savills Estate Agents Bath
Fine & Country Bath,https://www.fineandcountry.co.uk/bath-estate-agents,Fine and Country Estate Agents Bath
Winkworth Bath,https://www.winkworth.co.uk/estate-agents/bath,Winkworth Estate Agents Bath
Allen & Harris Bath,https://www.allenandharris.co.uk/estate-agents/bath,Allen and Harris Estate Agents Bath
Nash & Co,http://www.nashandcobath.co.uk/,Nash and Co Estate Agents Bath
Bath Stone Property,https://www.bathstoneproperty.com/,Bath Stone Property Estate Agents Bath
Cobb Farr,https://www.cobbfarr.com/,Cobb Farr Estate Agents Bath
Madison Oakley,https://www.madisonoakley.co.uk/,Madison Oakley Estate Agents Bath
Whiteley Helyar,https://whiteleyhelyar.co.uk/,Whiteley Helyar Estate Agents Bath
Justin Hunter,https://www.justin-hunter.co.uk/,Justin Hunter Estate Agents Bath
Crisp Cowley,https://www.crispcowley.co.uk/,Crisp Cowley Estate Agents Bath
Zest Sales & Lettings,https://www.zestlovesproperty.com/,Zest Estate Agents Bath
Martin & Co Bath,https://www.martinco.com/estate-agents-and-letting-agents/branch/bath/,Martin and Co Estate Agents Bath
Aspire To Move,https://aspiretomove.co.uk/,Aspire To Move Letting Agents Bath
