name,url,gbp_query
"Bath Veterinary Group, Rosemary Lodge Veterinary Hospital",https://www.bathvetgroup.co.uk/about-us/practices/rosemary-lodge?utm_source=gmb&utm_medium=organic&utm_campaign=attribute,"Bath Veterinary Group, Rosemary Lodge Veterinary Hospital veterinary practice Bath"
Bath Veterinary Centre,http://www.bathveterinarycentre.co.uk/,Bath Veterinary Centre veterinary practice Bath
"Bath Veterinary Group, Bath Cat Clinic",https://www.bathcatclinic.co.uk/?utm_source=gmb&utm_medium=organic&utm_campaign=attribute,"Bath Veterinary Group, Bath Cat Clinic veterinary practice Bath"
Kelston Vets,http://www.kelstonvets.co.uk/,Kelston Vets veterinary practice Bath
Cadence Equine Vets Ltd,https://www.cadenceequinevets.co.uk/,Cadence Equine Vets Ltd veterinary practice Bath
Vee the Vet,https://www.veethevet.co.uk/,Vee the Vet veterinary practice Bath
Veterinary Pain Management,https://vet-painmanagement.com/about-us,Veterinary Pain Management veterinary practice Bath
Hands On Animal Physiotherapy,http://handsonanimalphysiotherapy.co.uk/,Hands On Animal Physiotherapy veterinary practice Bath
Croft Vets Ltd,https://businformaps.org/details/croft-vets-ltd-ChIJS6W,Croft Vets Ltd veterinary practice Bath
Vetindex Ltd,http://www.vetindex.co.uk/,Vetindex Ltd veterinary practice Bath
