name,url,gbp_query
City Vets in Heavitree,http://cityvets.co.uk/heavitree-branch/,City Vets in Heavitree veterinary practice Exeter
"Beaumont Veterinary Centre, Exeter",https://www.beaumont-vets.co.uk/?utm_source=gmb&utm_medium=organic&utm_campaign=attribute,"Beaumont Veterinary Centre, Exeter veterinary practice Exeter"
Ark Vets-Pinhoe,http://www.arkvets-exeter.co.uk/,Ark Vets-Pinhoe veterinary practice Exeter
Exeter Veterinary Surgery,https://exetervets.co.uk/,Exeter Veterinary Surgery veterinary practice Exeter
Rainbow Bridge Vets,https://www.rainbowbridgevets.co.uk/,Rainbow Bridge Vets veterinary practice Exeter
Estuary Vets,http://www.estuary.vet/,Estuary Vets veterinary practice Exeter
Phoenix Equine,https://phoenixequine.co.uk/?utm_source=google&utm_medium=Yext,Phoenix Equine veterinary practice Exeter
Exonia Veterinary Emergency Service,https://exoniavets.co.uk/?utm_source=google&utm_medium=Yext,Exonia Veterinary Emergency Service veterinary practice Exeter
South West Equine Referral Practice,http://www.southwestequine.co.uk/,South West Equine Referral Practice veterinary practice Exeter
St Davids Veterinary Clinic - Topsham,https://www.vetcollection.co.uk/south-west/exeter/st-davids-veterinary-clinic-topsham/?utm_source=google&utm_medium=Yext,St Davids Veterinary Clinic - Topsham veterinary practice Exeter
"Stringer Equine Veterinary Practice, Exeter",http://www.devon-equine-vets.com/,"Stringer Equine Veterinary Practice, Exeter veterinary practice Exeter"
St David's Poultry Team Ltd,http://www.stdavids-poultryteam.co.uk/,St David's Poultry Team Ltd veterinary practice Exeter
"Jonathan Wood Veterinary Surgeons Ltd, Bernaville Nurseries",http://www.jwoodvet.co.uk/,"Jonathan Wood Veterinary Surgeons Ltd, Bernaville Nurseries veterinary practice Exeter"
The Chicken Vet,http://www.chickenvet.co.uk/,The Chicken Vet veterinary practice Exeter
HeartVets @City Vets,http://www.heartvets.co.uk/,HeartVets @City Vets veterinary practice Exeter
Molecare Veterinary Services Exeter,http://www.molecarevetservices.com/,Molecare Veterinary Services Exeter veterinary practice Exeter
TopVet,https://topvet.net/,TopVet veterinary practice Exeter
St David’s Game Bird Services,http://www.stdavids-gamebirds.co.uk/,St David’s Game Bird Services veterinary practice Exeter
Tor Equine Vets,http://torequinevets.co.uk/,Tor Equine Vets veterinary practice Exeter
Synergy Farm Health Vets - Lympstone,https://www.synergyfarmhealth.com/,Synergy Farm Health Vets - Lympstone veterinary practice Exeter
Applied Bacterial Control Ltd,http://www.appliedbacterialcontrol.com/,Applied Bacterial Control Ltd veterinary practice Exeter
