name,url,gbp_query
Greek on the Docks,https://www.greekonthedocks.co.uk/welcome/,Greek on the Docks restaurant Gloucester
Tim Hortons - Gloucester,https://www.timhortons.co.uk/,Tim Hortons - Gloucester restaurant Gloucester
Café René,http://www.caferene.co.uk/,Café René restaurant Gloucester
Hatherley Manor Hotel & Spa,http://www.hatherleymanor.com/,Hatherley Manor Hotel & Spa restaurant Gloucester
TANK,http://www.tankgloucester.co.uk/,TANK restaurant Gloucester
Côte Gloucester,https://www.cote.co.uk/restaurant/gloucester/?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business?utm_source=extnet&utm_medium=yext,Côte Gloucester restaurant Gloucester
Portivo Lounge,https://thelounges.co.uk/portivo/,Portivo Lounge restaurant Gloucester
Royal Oak,https://www.hungryhorse.co.uk/pubs/gloucestershire/royal-oak?utm_source=g_places&utm_medium=locations&utm_campaign=HH_pubpage,Royal Oak restaurant Gloucester
The New Dawn Inn,http://newdawninn.co.uk/,The New Dawn Inn restaurant Gloucester
The Old Elm Inn,http://www.theoldelminn.co.uk/,The Old Elm Inn restaurant Gloucester
Burger Boi - Gloucester,https://burgerboi.co.uk/,Burger Boi - Gloucester restaurant Gloucester
NepaleseChef,http://www.nepalesechef.co.uk/,NepaleseChef restaurant Gloucester
Hare & Hounds,https://www.greeneking.co.uk/pubs/gloucestershire/hare-and-hounds?utm_source=g_places&utm_medium=locations&utm_campaign=PL_pubpage,Hare & Hounds restaurant Gloucester
Five Guys Burgers and Fries Gloucester Quays,https://restaurants.fiveguys.co.uk/south-west/r11-gloucester-quays-outlet,Five Guys Burgers and Fries Gloucester Quays restaurant Gloucester
Chuck Burgers,https://www.chuckburgerbar.com/,Chuck Burgers restaurant Gloucester
Pepe's,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/gloucester/144-eastgate-street/4609439,Pepe's restaurant Gloucester
Seymour Fryer,https://seymourfryer.co.uk/,Seymour Fryer restaurant Gloucester
The Lock Keepers,http://www.thelockkeepers.co.uk/,The Lock Keepers restaurant Gloucester
Indian Memories,http://www.indianmemories.co.uk/,Indian Memories restaurant Gloucester
Nala Restaurant,https://nalarestaurantuk.com/,Nala Restaurant restaurant Gloucester
Friar Tucks,http://www.thefriartucks.co.uk/,Friar Tucks restaurant Gloucester
Saeeds,https://www.saeedbaltihouse.co.uk/,Saeeds restaurant Gloucester
Poppins,http://www.poppinsrestaurants.co.uk/,Poppins restaurant Gloucester
The Linden Tree,https://gloucesterpartnership.org.uk/business/the-linden-tree/,The Linden Tree restaurant Gloucester
Karak Chaii Gloucester,https://www.karakchaii.co.uk/,Karak Chaii Gloucester restaurant Gloucester
Coney Hill Fish & Chips,http://coneyhillfishandchips.co.uk/,Coney Hill Fish & Chips restaurant Gloucester
Dough from dough (events only),http://www.doughfromdough.com/,Dough from dough (events only) restaurant Gloucester
Khans Kebabs & Grill,https://khanskebab.co.uk/,Khans Kebabs & Grill restaurant Gloucester
Golden City,http://www.goldencitychurchdown.co.uk/,Golden City restaurant Gloucester
The Victoria Hotel,http://www.victoriainnhucclecote.co.uk/,The Victoria Hotel restaurant Gloucester
Moft Caffe,http://www.moftcaffe.com/,Moft Caffe restaurant Gloucester
Spice Master,https://thespicemaster.co.uk/,Spice Master restaurant Gloucester
Brimble's Cafe,http://www.brimblescafe.co.uk/,Brimble's Cafe restaurant Gloucester
Banchina Italian,https://banchina.co.uk/,Banchina Italian restaurant Gloucester
Roots + Seeds Cafe Kitchen Gloucester Food Docks,https://www.rootsandseedskitchengarden.co.uk/,Roots + Seeds Cafe Kitchen Gloucester Food Docks restaurant Gloucester
Bombay Mix,https://bombaymixtuffley.co.uk/,Bombay Mix restaurant Gloucester
Olympian Bites,http://olympianbites.co.uk/,Olympian Bites restaurant Gloucester
Farmhouse Deli,http://www.farmhousedeli.co.uk/,Farmhouse Deli restaurant Gloucester
Gloucester Food Dock,https://www.gloucesterfooddock.co.uk/,Gloucester Food Dock restaurant Gloucester
Fly Wingz,https://flywingz.co.uk/,Fly Wingz restaurant Gloucester
GO SPICE,https://gospice.co.uk/,GO SPICE restaurant Gloucester
Tara,https://hatton-court.co.uk/eating-drinking-restaurants-gloucester-cotswolds/,Tara restaurant Gloucester
Nineteen at Brickhampton,https://www.brickhampton.co.uk/nineteenatbrickhampton,Nineteen at Brickhampton restaurant Gloucester
Eat Unique,http://eat-unique.uk/,Eat Unique restaurant Gloucester
